==PROF== Connected to process 3013819 (/home/yufan/gpu_kernel_design/executable-2080/CSGyolo-7)
warmup....
block shape <32, 1, 1>
grid shape <16, 2, 34>
256 34 34 512 1 | 4 1 17 32 1 1 8  
==PROF== Disconnected from process 3013819
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description"
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (dram__cycles_active.avg.pct_of_peak_sustained_elapsed)","%","6.24",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed)","%","4.12",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed)","%","2.69",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed)","%","2.14",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed)","%","25.92",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed)","%","0.00",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed)","%","18.00",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed)","%","42.02",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","8.67",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed)","%","9.06",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","1.59",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","12.11",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__d_sectors.avg.pct_of_peak_sustained_elapsed)","%","7.38",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed)","%","2.22",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__d_sectors_fill_sysmem.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3013819","CSGyolo-7","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 14:23:57","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__lts2xbar_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","15.32",
