K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
64,56,56,64,1,2,2,2,32,7,1,32,0.36461
64,56,56,64,1,1,7,7,32,4,1,32,0.19872
64,56,56,64,1,2,1,2,32,14,2,8,0.12941
64,56,56,64,1,2,1,1,32,14,1,32,0.77696
64,56,56,64,1,1,2,14,32,2,1,8,0.03488
64,56,56,64,1,2,4,4,32,1,7,32,0.06329499999999999
64,56,56,64,1,2,4,4,32,1,1,2,0.05752
64,56,56,64,1,1,1,1,32,2,14,32,0.70874
64,56,56,64,1,1,4,4,32,1,2,8,0.04189
64,56,56,64,1,1,2,2,32,7,1,4,0.10211
64,56,56,64,1,1,7,7,32,1,2,32,0.12336
64,56,56,64,1,2,2,7,32,4,2,4,0.032415
64,56,56,64,1,1,1,4,32,1,1,8,0.11984
64,56,56,64,1,1,2,8,32,14,1,16,0.06502
64,56,56,64,1,1,1,4,32,8,1,8,0.08486
64,56,56,64,1,2,2,4,32,2,7,8,0.05232
64,56,56,64,1,1,2,2,32,2,14,4,0.06701
64,56,56,64,1,2,1,1,32,14,2,2,0.12912
64,56,56,64,1,1,2,7,32,1,4,16,0.046065
64,56,56,64,1,1,1,2,32,4,1,8,0.1513
64,56,56,64,1,1,1,1,32,8,4,4,0.194355
64,56,56,64,1,1,1,8,32,7,1,2,0.03437
64,56,56,64,1,1,1,8,32,2,1,16,0.07208
64,56,56,64,1,2,4,7,32,7,1,16,0.07581
64,56,56,64,1,1,1,7,32,7,4,16,0.08509
64,56,56,64,1,1,1,2,32,4,2,8,0.13136
64,56,56,64,1,1,4,8,32,1,1,1,0.063855
64,56,56,64,1,1,1,2,32,2,4,2,0.07546
64,56,56,64,1,1,2,4,32,14,1,16,0.12406500000000001
64,56,56,64,1,1,1,1,32,2,4,2,0.12976
64,56,56,64,1,1,1,1,32,1,1,16,0.72621
64,56,56,64,1,2,4,4,32,7,1,2,0.05952
64,56,56,64,1,2,1,2,32,4,4,2,0.06494
64,56,56,64,1,2,2,7,32,4,4,4,0.031955
64,56,56,64,1,1,1,2,32,7,4,2,0.10430500000000001
64,56,56,64,1,2,2,2,32,4,4,32,0.17763
