K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
256,34,34,512,1,1,1,2,32,2,1,2,0.7504
256,34,34,512,1,1,1,17,32,1,1,1,0.383725
256,34,34,512,1,8,1,1,32,2,2,4,0.440145
256,34,34,512,1,8,1,1,32,1,2,2,0.486145
256,34,34,512,1,1,1,2,32,1,1,4,1.28538
256,34,34,512,1,2,1,2,32,1,1,2,0.7367999999999999
256,34,34,512,1,8,1,2,32,2,1,16,0.85971
256,34,34,512,1,8,1,17,32,2,1,16,0.14827
256,34,34,512,1,4,2,17,32,1,1,16,0.14773
256,34,34,512,1,8,2,2,32,1,1,2,0.51512
256,34,34,512,1,4,1,17,32,1,1,8,0.097105
256,34,34,512,1,1,2,17,32,1,1,16,0.209965
256,34,34,512,1,4,1,1,32,1,1,32,2.17171
256,34,34,512,1,2,1,1,32,2,1,8,0.943345
256,34,34,512,1,1,2,17,32,1,1,2,0.23222500000000001
256,34,34,512,1,2,2,17,32,1,1,2,0.22128
256,34,34,512,1,8,1,17,32,2,1,8,0.12232000000000001
256,34,34,512,1,8,1,17,32,2,1,1,0.46328
256,34,34,512,1,8,1,1,32,2,2,1,0.4504
256,34,34,512,1,2,1,17,32,2,1,2,0.210465
256,34,34,512,1,1,1,17,32,1,1,16,0.26453000000000004
256,34,34,512,1,1,1,2,32,1,1,16,1.5610050000000002
256,34,34,512,1,1,1,1,32,1,1,2,2.577155
256,34,34,512,1,2,1,1,32,1,1,2,1.3876
256,34,34,512,1,2,2,2,32,1,1,2,0.67035
256,34,34,512,1,4,1,17,32,1,1,16,0.12141
256,34,34,512,1,1,1,17,32,2,1,1,0.391775
256,34,34,512,1,8,1,1,32,1,1,32,1.769745
256,34,34,512,1,2,1,17,32,2,1,32,0.16512
256,34,34,512,1,2,2,17,32,1,1,16,0.142515
256,34,34,512,1,8,1,2,32,1,1,8,0.6199699999999999
256,34,34,512,1,2,1,2,32,1,1,4,0.72707
256,34,34,512,1,2,1,17,32,1,1,1,0.394675
256,34,34,512,1,4,2,17,32,1,1,8,0.111085
256,34,34,512,1,8,1,2,32,1,1,1,0.602515
256,34,34,512,1,8,1,17,32,2,1,32,0.18676500000000001
256,34,34,512,1,2,1,1,32,2,1,1,0.960815
256,34,34,512,1,2,1,1,32,1,1,8,1.625715
256,34,34,512,1,4,1,2,32,1,1,32,1.1442700000000001
256,34,34,512,1,4,1,1,32,2,2,16,0.727565
256,34,34,512,1,4,1,17,32,2,1,4,0.14346
256,34,34,512,1,1,1,1,32,2,1,8,1.5602399999999998
256,34,34,512,1,1,1,17,32,2,1,32,0.235665
256,34,34,512,1,2,2,17,32,1,1,1,0.419665
256,34,34,512,1,2,2,17,32,1,1,8,0.146815
256,34,34,512,1,2,2,2,32,1,1,32,1.090125
256,34,34,512,1,8,1,2,32,2,1,2,0.57029
256,34,34,512,1,4,1,1,32,2,2,32,1.124015
256,34,34,512,1,2,2,2,32,1,1,4,0.613265
256,34,34,512,1,1,1,1,32,2,1,2,1.4262549999999998
256,34,34,512,1,4,1,1,32,1,1,2,0.83347
256,34,34,512,1,1,1,1,32,2,2,16,1.5750199999999999
