K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
64,136,136,128,1,1,2,4,32,2,2,8,0.364765
64,136,136,128,1,2,4,4,32,1,1,2,0.32672
64,136,136,128,1,2,1,4,32,8,2,4,0.34001499999999996
64,136,136,128,1,1,1,2,32,8,4,32,2.589855
64,136,136,128,1,2,1,1,32,4,1,16,2.72584
64,136,136,128,1,1,1,17,32,8,1,32,0.49462
64,136,136,128,1,2,2,17,32,1,1,8,0.19917
64,136,136,128,1,2,1,1,32,1,4,16,1.96134
64,136,136,128,1,1,1,2,32,2,2,16,1.4737149999999999
64,136,136,128,1,1,1,1,32,4,1,1,1.684285
64,136,136,128,1,1,1,2,32,8,1,2,0.8598049999999999
64,136,136,128,1,2,2,8,32,4,1,32,0.55048
64,136,136,128,1,1,1,4,32,4,1,16,0.884255
64,136,136,128,1,2,2,4,32,1,2,16,0.48341
64,136,136,128,1,1,1,4,32,1,2,1,0.471475
64,136,136,128,1,1,8,8,32,1,1,1,0.353645
64,136,136,128,1,1,1,2,32,4,2,2,0.794575
64,136,136,128,1,1,1,1,32,1,4,2,1.384605
64,136,136,128,1,1,1,17,32,1,1,2,0.281345
64,136,136,128,1,1,2,2,32,4,2,8,0.658305
64,136,136,128,1,2,4,8,32,2,1,1,0.15054499999999998
64,136,136,128,1,2,2,8,32,2,1,32,0.528015
64,136,136,128,1,1,1,17,32,8,1,16,0.351695
64,136,136,128,1,1,2,8,32,2,1,32,0.59142
64,136,136,128,1,1,1,2,32,8,1,8,1.222255
64,136,136,128,1,2,1,2,32,2,4,1,0.51595
64,136,136,128,1,2,1,1,32,2,2,1,0.865825
64,136,136,128,1,2,1,4,32,2,2,4,0.310335
64,136,136,128,1,1,1,2,32,2,4,8,1.0537450000000002
64,136,136,128,1,2,1,4,32,4,2,8,0.412415
64,136,136,128,1,2,1,1,32,8,4,8,1.546335
64,136,136,128,1,1,1,1,32,1,2,32,4.229105
64,136,136,128,1,1,1,2,32,2,2,1,0.823005
64,136,136,128,1,2,1,2,32,8,4,32,2.1367700000000003
64,136,136,128,1,2,2,2,32,2,1,1,0.5269250000000001
64,136,136,128,1,2,2,2,32,2,1,32,2.0429
64,136,136,128,1,1,4,17,32,2,1,1,0.277405
64,136,136,128,1,1,1,1,32,8,2,4,1.72925
64,136,136,128,1,2,1,1,32,4,2,1,0.90099
64,136,136,128,1,1,1,8,32,1,1,2,0.44189
64,136,136,128,1,2,1,2,32,8,1,1,0.55384
64,136,136,128,1,1,2,4,32,4,1,32,1.1840449999999998
64,136,136,128,1,2,2,2,32,2,1,8,0.718195
64,136,136,128,1,1,4,8,32,1,1,8,0.32304
64,136,136,128,1,1,1,4,32,4,2,2,0.444465
64,136,136,128,1,1,1,1,32,4,8,2,1.79114
64,136,136,128,1,1,1,1,32,1,8,32,3.9236649999999997
64,136,136,128,1,1,1,8,32,2,1,8,0.35806499999999997
64,136,136,128,1,2,2,8,32,1,1,16,0.477395
64,136,136,128,1,1,1,4,32,1,1,16,1.392115
