K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
128,28,28,64,1,2,1,2,32,1,1,1,0.06144
128,28,28,64,1,2,1,1,32,1,4,1,0.05325
128,28,28,64,1,1,1,1,32,4,4,4,0.06246
128,28,28,64,1,4,2,2,32,1,1,16,0.09011
128,28,28,64,1,4,2,7,32,1,1,1,0.06963
128,28,28,64,1,1,2,7,32,2,1,4,0.0225
128,28,28,64,1,2,1,4,32,2,1,2,0.03891
128,28,28,64,1,1,2,14,32,1,1,16,0.027635
128,28,28,64,1,2,1,1,32,2,2,1,0.05427
128,28,28,64,1,1,1,2,32,4,1,2,0.0471
128,28,28,64,1,4,2,4,32,14,1,4,0.05427
128,28,28,64,1,4,1,1,32,7,2,8,0.07987
128,28,28,64,1,2,1,1,32,7,1,2,0.06349
128,28,28,64,1,4,2,7,32,14,1,16,0.04403
128,28,28,64,1,2,1,4,32,4,1,4,0.0297
128,28,28,64,1,4,4,4,32,7,1,2,0.09011
128,28,28,64,1,1,1,14,32,7,1,16,0.02557
128,28,28,64,1,4,1,2,32,14,1,32,0.16896
128,28,28,64,1,2,2,7,32,7,1,4,0.0297
128,28,28,64,1,2,4,7,32,7,1,32,0.07373
128,28,28,64,1,1,2,4,32,7,1,1,0.06246
128,28,28,64,1,2,1,1,32,7,1,16,0.195055
128,28,28,64,1,2,4,4,32,1,1,8,0.03994
128,28,28,64,1,1,1,1,32,14,2,8,0.11059
128,28,28,64,1,1,1,1,32,2,7,16,0.11981
128,28,28,64,1,4,2,4,32,2,1,4,0.04608
128,28,28,64,1,1,1,2,32,2,2,1,0.04506
128,28,28,64,1,2,1,1,32,14,1,8,0.12186
128,28,28,64,1,4,1,1,32,4,7,16,0.10445
128,28,28,64,1,1,1,2,32,1,7,1,0.04506
128,28,28,64,1,2,1,14,32,14,1,1,0.07782
128,28,28,64,1,2,1,4,32,2,1,8,0.03482
128,28,28,64,1,1,1,14,32,4,1,32,0.03379
128,28,28,64,1,2,1,7,32,2,1,16,0.03686
128,28,28,64,1,4,1,2,32,14,2,4,0.04301
128,28,28,64,1,2,2,2,32,2,2,4,0.0297
128,28,28,64,1,4,2,7,32,2,1,32,0.07373
128,28,28,64,1,1,2,4,32,7,1,8,0.03174
128,28,28,64,1,1,1,1,32,1,14,8,0.07987
128,28,28,64,1,4,2,2,32,1,1,1,0.09112
128,28,28,64,1,1,1,7,32,14,1,8,0.03379
128,28,28,64,1,1,1,4,32,4,1,8,0.03994
128,28,28,64,1,2,1,1,32,1,1,1,0.07168
128,28,28,64,1,1,1,4,32,14,1,32,0.09114
128,28,28,64,1,1,1,2,32,1,1,1,0.05837
128,28,28,64,1,2,1,4,32,7,1,4,0.03174
128,28,28,64,1,2,2,14,32,2,1,4,0.029185000000000003
128,28,28,64,1,4,1,1,32,2,7,8,0.06349
128,28,28,64,1,4,2,4,32,2,1,2,0.0568
128,28,28,64,1,1,1,2,32,4,1,8,0.07168
128,28,28,64,1,2,1,4,32,14,1,4,0.03379
128,28,28,64,1,2,1,14,32,7,1,4,0.02762
128,28,28,64,1,2,1,14,32,14,1,2,0.04608
128,28,28,64,1,1,1,1,32,2,14,32,0.18842
128,28,28,64,1,2,2,2,32,2,2,1,0.06349
128,28,28,64,1,2,1,7,32,2,2,32,0.04403
