K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
256,14,14,128,1,2,2,7,32,7,2,32,0.02454
256,14,14,128,1,1,1,1,32,2,7,2,0.05325
256,14,14,128,1,8,1,1,32,7,2,4,0.07168
256,14,14,128,1,8,1,1,32,7,1,4,0.084
256,14,14,128,1,4,1,2,32,2,1,2,0.08549999999999999
256,14,14,128,1,4,1,1,32,1,1,8,0.08502
256,14,14,128,1,1,2,7,32,7,2,16,0.02048
256,14,14,128,1,4,1,7,32,1,1,16,0.03171
256,14,14,128,1,8,2,7,32,1,1,4,0.07987
256,14,14,128,1,1,2,7,32,7,1,8,0.02352
256,14,14,128,1,2,2,2,32,1,1,4,0.04605
256,14,14,128,1,2,2,2,32,1,7,4,0.032755
256,14,14,128,1,1,2,7,32,7,2,32,0.02765
256,14,14,128,1,4,1,1,32,2,14,4,0.05325
256,14,14,128,1,4,1,2,32,2,7,4,0.04813
256,14,14,128,1,2,2,7,32,7,1,4,0.03891
256,14,14,128,1,1,2,7,32,7,2,4,0.03789
256,14,14,128,1,8,1,2,32,1,1,4,0.07578
256,14,14,128,1,4,2,2,32,1,1,16,0.051695000000000005
256,14,14,128,1,1,1,14,32,7,1,2,0.05834
256,14,14,128,1,2,1,2,32,14,1,4,0.04707
256,14,14,128,1,4,1,1,32,1,2,1,0.117745
256,14,14,128,1,1,2,7,32,1,2,1,0.10032
256,14,14,128,1,4,1,2,32,2,7,8,0.03891
256,14,14,128,1,2,1,1,32,1,7,2,0.052205
256,14,14,128,1,8,1,7,32,1,2,4,0.05939
256,14,14,128,1,2,1,7,32,14,1,16,0.02762
256,14,14,128,1,1,1,1,32,1,2,2,0.05629
256,14,14,128,1,2,2,14,32,1,1,2,0.05632
256,14,14,128,1,8,1,2,32,2,1,32,0.10342
256,14,14,128,1,4,2,14,32,7,1,8,0.05018
256,14,14,128,1,8,1,1,32,2,2,4,0.06864
256,14,14,128,1,4,1,14,32,14,1,4,0.06246
256,14,14,128,1,8,2,7,32,1,1,32,0.06706999999999999
256,14,14,128,1,8,1,2,32,1,1,2,0.10646
256,14,14,128,1,4,1,2,32,14,1,4,0.061425
256,14,14,128,1,1,2,7,32,1,2,4,0.03274
256,14,14,128,1,2,2,14,32,1,1,8,0.02765
256,14,14,128,1,4,2,2,32,7,1,4,0.0655
256,14,14,128,1,1,1,14,32,14,1,1,0.12288
256,14,14,128,1,1,1,1,32,7,2,16,0.1024
256,14,14,128,1,1,2,7,32,1,1,32,0.03174
256,14,14,128,1,1,1,7,32,14,1,16,0.032785
256,14,14,128,1,1,1,7,32,2,1,8,0.02352
256,14,14,128,1,8,1,2,32,1,1,8,0.064495
256,14,14,128,1,1,2,14,32,1,1,4,0.0297
256,14,14,128,1,4,1,1,32,1,7,16,0.06448
256,14,14,128,1,1,1,2,32,1,1,1,0.10035
256,14,14,128,1,2,1,2,32,2,1,32,0.09528
256,14,14,128,1,8,1,2,32,1,1,16,0.06758
256,14,14,128,1,2,2,2,32,7,1,4,0.049135
256,14,14,128,1,8,2,7,32,1,1,2,0.10138
256,14,14,128,1,1,1,1,32,1,1,8,0.11776
256,14,14,128,1,8,1,1,32,1,14,4,0.06963
256,14,14,128,1,2,1,7,32,2,2,1,0.08499
256,14,14,128,1,4,2,2,32,7,1,32,0.08397
256,14,14,128,1,1,1,2,32,7,1,16,0.07168
256,14,14,128,1,4,2,7,32,1,1,1,0.10547
256,14,14,128,1,1,2,2,32,1,1,8,0.0512
256,14,14,128,1,1,1,7,32,14,1,32,0.03891
256,14,14,128,1,1,1,1,32,7,2,4,0.06758
256,14,14,128,1,1,1,7,32,14,2,16,0.0297
256,14,14,128,1,8,1,7,32,2,2,16,0.04506
256,14,14,128,1,1,1,7,32,2,1,1,0.101905
256,14,14,128,1,4,1,14,32,2,1,1,0.12083
256,14,14,128,1,8,1,14,32,1,1,1,0.1495
256,14,14,128,1,8,1,1,32,1,1,32,0.18638500000000002
256,14,14,128,1,4,1,1,32,1,14,2,0.0737
256,14,14,128,1,1,1,1,32,7,1,1,0.12694
256,14,14,128,1,8,1,7,32,7,2,4,0.0727
256,14,14,128,1,8,1,2,32,14,1,8,0.07267
256,14,14,128,1,4,1,7,32,14,1,8,0.04298
256,14,14,128,1,2,1,7,32,1,1,4,0.03686
256,14,14,128,1,8,1,2,32,2,7,2,0.10339
256,14,14,128,1,8,1,2,32,14,1,16,0.07779
256,14,14,128,1,4,1,14,32,14,1,1,0.17517
256,14,14,128,1,8,1,14,32,2,1,32,0.04403
256,14,14,128,1,1,1,1,32,7,2,8,0.07882
256,14,14,128,1,4,1,1,32,7,1,4,0.06755
256,14,14,128,1,1,1,7,32,2,2,2,0.044
256,14,14,128,1,2,1,14,32,1,1,4,0.03584
256,14,14,128,1,4,1,7,32,7,2,8,0.03686
256,14,14,128,1,2,2,7,32,1,1,4,0.03581
256,14,14,128,1,1,1,1,32,14,1,1,0.13414
256,14,14,128,1,2,2,7,32,7,2,1,0.13926
256,14,14,128,1,8,2,7,32,7,1,4,0.093165
256,14,14,128,1,1,1,2,32,14,1,8,0.056305
256,14,14,128,1,8,1,2,32,1,1,32,0.11162
256,14,14,128,1,2,1,7,32,2,1,4,0.03786
256,14,14,128,1,4,1,1,32,14,1,8,0.07062
256,14,14,128,1,8,1,2,32,2,7,8,0.06243
