K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
512,7,7,256,1,4,1,1,32,7,1,32,0.11162
512,7,7,256,1,16,1,1,32,1,1,16,0.1024
512,7,7,256,1,1,1,1,32,1,7,16,0.05734
512,7,7,256,1,16,1,7,32,7,1,1,0.40038
512,7,7,256,1,8,1,7,32,7,1,16,0.05734
512,7,7,256,1,16,1,1,32,7,1,2,0.22938
512,7,7,256,1,1,1,1,32,1,7,2,0.08499
512,7,7,256,1,16,1,1,32,1,7,1,0.28774
512,7,7,256,1,16,1,1,32,1,7,16,0.09523
512,7,7,256,1,2,1,1,32,1,1,8,0.0809
512,7,7,256,1,2,1,1,32,1,1,2,0.10547
512,7,7,256,1,4,1,1,32,7,1,8,0.06758
512,7,7,256,1,2,1,1,32,1,7,32,0.05939
512,7,7,256,1,16,1,7,32,7,1,8,0.11571
512,7,7,256,1,2,1,7,32,1,1,1,0.20173
512,7,7,256,1,8,1,1,32,1,1,16,0.07373
512,7,7,256,1,8,1,7,32,7,1,4,0.11162
512,7,7,256,1,4,1,7,32,7,1,32,0.03379
512,7,7,256,1,1,1,1,32,1,1,16,0.11674
512,7,7,256,1,8,1,1,32,1,1,2,0.17408
512,7,7,256,1,2,1,7,32,1,1,8,0.03789
512,7,7,256,1,4,1,1,32,7,1,4,0.09421
512,7,7,256,1,16,1,7,32,1,1,1,0.37683
512,7,7,256,1,2,1,1,32,1,1,32,0.1239
512,7,7,256,1,1,1,7,32,7,1,8,0.03482
512,7,7,256,1,16,1,1,32,7,1,4,0.15155
512,7,7,256,1,4,1,7,32,1,1,1,0.2519
512,7,7,256,1,8,1,7,32,1,1,1,0.31027
512,7,7,256,1,8,1,1,32,7,1,1,0.31539
512,7,7,256,1,16,1,1,32,7,1,32,0.1239
512,7,7,256,1,8,1,1,32,1,1,1,0.3072
512,7,7,256,1,8,1,1,32,7,1,4,0.11264
512,7,7,256,1,4,1,7,32,1,1,4,0.078835
512,7,7,256,1,8,1,1,32,7,1,8,0.08602
512,7,7,256,1,16,1,1,32,7,1,1,0.384
512,7,7,256,1,1,1,7,32,7,1,2,0.10752
512,7,7,256,1,8,1,7,32,1,1,8,0.07066
512,7,7,256,1,8,1,1,32,1,7,2,0.14131
512,7,7,256,1,16,1,7,32,1,1,8,0.10752
512,7,7,256,1,2,1,1,32,7,1,32,0.11674
512,7,7,256,1,4,1,7,32,1,1,8,0.05018
512,7,7,256,1,4,1,1,32,1,1,16,0.086
512,7,7,256,1,16,1,1,32,1,7,8,0.10547
512,7,7,256,1,4,1,7,32,7,1,2,0.14541
512,7,7,256,1,2,1,7,32,7,1,32,0.02765
512,7,7,256,1,1,1,1,32,1,1,8,0.10854
512,7,7,256,1,1,1,1,32,1,7,4,0.0512
512,7,7,256,1,8,1,1,32,1,7,8,0.06963
512,7,7,256,1,8,1,1,32,1,1,4,0.11162
512,7,7,256,1,1,1,1,32,1,1,2,0.11059
512,7,7,256,1,1,1,7,32,1,1,4,0.05734
512,7,7,256,1,4,1,1,32,1,1,1,0.27546
512,7,7,256,1,4,1,7,32,7,1,16,0.03789
512,7,7,256,1,8,1,1,32,7,1,2,0.18022
512,7,7,256,1,2,1,1,32,7,1,2,0.12698
