==PROF== Connected to process 13703 (/home/xu.2882/bkk-GPU-Kernel-Conv/executable-v100/CSGyolo-3)
warmup....
block shape <32, 1, 1>
grid shape <2, 8, 136>
64 136 136 128 1 | 2 1 17 32 1 1 2  
==PROF== Disconnected from process 13703
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description"
"0","13703","CSGyolo-3","127.0.0.1","conv_kernel(const float *, const float *, float *)","2022-Jun-14 16:39:51","1","7","GPU Speed Of Light Throughput","{UNIT}: {COMPOUND_NAME} (dram__cycles_active.avg.pct_of_peak_sustained_elapsed)","%","18.51",
"0","13703","CSGyolo-3","127.0.0.1","conv_kernel(const float *, const float *, float *)","2022-Jun-14 16:39:51","1","7","GPU Speed Of Light Throughput","{UNIT}: {COMPOUND_NAME} (fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed)","%","13.92",
"0","13703","CSGyolo-3","127.0.0.1","conv_kernel(const float *, const float *, float *)","2022-Jun-14 16:39:51","1","7","GPU Speed Of Light Throughput","{UNIT}: {COMPOUND_NAME} (l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed)","%","3.00",
"0","13703","CSGyolo-3","127.0.0.1","conv_kernel(const float *, const float *, float *)","2022-Jun-14 16:39:51","1","7","GPU Speed Of Light Throughput","{UNIT}: {COMPOUND_NAME} (l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed)","%","1.77",
"0","13703","CSGyolo-3","127.0.0.1","conv_kernel(const float *, const float *, float *)","2022-Jun-14 16:39:51","1","7","GPU Speed Of Light Throughput","{UNIT}: {COMPOUND_NAME} (l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed)","%","48.08",
"0","13703","CSGyolo-3","127.0.0.1","conv_kernel(const float *, const float *, float *)","2022-Jun-14 16:39:51","1","7","GPU Speed Of Light Throughput","{UNIT}: {COMPOUND_NAME} (l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","13703","CSGyolo-3","127.0.0.1","conv_kernel(const float *, const float *, float *)","2022-Jun-14 16:39:51","1","7","GPU Speed Of Light Throughput","{UNIT}: {COMPOUND_NAME} (l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed)","%","0.00",
"0","13703","CSGyolo-3","127.0.0.1","conv_kernel(const float *, const float *, float *)","2022-Jun-14 16:39:51","1","7","GPU Speed Of Light Throughput","{UNIT}: {COMPOUND_NAME} (l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed)","%","30.66",
"0","13703","CSGyolo-3","127.0.0.1","conv_kernel(const float *, const float *, float *)","2022-Jun-14 16:39:51","1","7","GPU Speed Of Light Throughput","{UNIT}: {COMPOUND_NAME} (l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed)","%","38.68",
"0","13703","CSGyolo-3","127.0.0.1","conv_kernel(const float *, const float *, float *)","2022-Jun-14 16:39:51","1","7","GPU Speed Of Light Throughput","{UNIT}: {COMPOUND_NAME} (l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","8.85",
"0","13703","CSGyolo-3","127.0.0.1","conv_kernel(const float *, const float *, float *)","2022-Jun-14 16:39:51","1","7","GPU Speed Of Light Throughput","{UNIT}: {COMPOUND_NAME} (l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed)","%","4.86",
"0","13703","CSGyolo-3","127.0.0.1","conv_kernel(const float *, const float *, float *)","2022-Jun-14 16:39:51","1","7","GPU Speed Of Light Throughput","{UNIT}: {COMPOUND_NAME} (l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed)","%","0",
