K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
256,34,34,512,1,34,2,1,2,16,1,1,8,1,2,0.24061
256,34,34,512,1,34,2,1,2,16,1,1,2,1,1,0.21402
256,34,34,512,1,68,2,1,1,32,1,1,1,1,1,0.27754
256,34,34,512,1,34,4,1,1,32,1,1,1,1,1,0.28669
256,34,34,512,1,2,4,1,2,16,1,17,1,1,1,0.13414
256,34,34,512,1,2,8,1,1,32,1,17,1,1,16,0.12797
256,34,34,512,1,34,2,1,1,32,1,2,2,1,4,0.13517
256,34,34,512,1,2,2,1,1,32,1,2,2,1,64,0.172
256,34,34,512,1,4,8,1,1,32,1,1,1,1,2,0.16486
256,34,34,512,1,2,4,1,2,16,1,1,1,1,1,0.12186
256,34,34,512,1,2,2,1,1,32,1,1,2,1,2,0.16998
256,34,34,512,1,34,2,1,1,32,1,2,4,1,16,0.16896
256,34,34,512,1,34,4,1,2,16,1,1,4,1,1,0.27955
256,34,34,512,1,34,2,1,2,16,1,1,1,1,2,0.16691
256,34,34,512,1,2,2,1,1,32,1,2,1,1,1,0.148975
256,34,34,512,1,2,2,1,2,16,1,17,1,1,2,0.14742
256,34,34,512,1,68,2,1,1,32,1,1,2,1,4,0.20173
256,34,34,512,1,2,4,1,2,16,1,17,1,1,64,0.06858
256,34,34,512,1,34,2,1,2,16,1,1,1,1,8,0.1239
256,34,34,512,1,34,2,1,2,16,1,1,4,1,8,0.11981
256,34,34,512,1,2,8,1,2,16,1,1,1,1,8,0.09421
256,34,34,512,1,2,2,1,1,32,1,2,1,1,8,0.10035
256,34,34,512,1,34,4,1,2,16,1,1,1,1,4,0.38602
256,34,34,512,1,2,2,1,2,16,1,1,2,1,16,0.10346
256,34,34,512,1,2,4,1,1,32,1,1,2,1,32,1.6010550000000001
256,34,34,512,1,2,4,1,1,32,1,1,2,1,2,0.14952
256,34,34,512,1,2,2,1,1,32,1,17,1,1,1,0.17201499999999997
256,34,34,512,1,34,2,1,1,32,1,2,4,1,1,0.29696
256,34,34,512,1,2,2,1,1,32,1,1,1,1,2,0.18532500000000002
256,34,34,512,1,2,2,1,1,32,1,2,4,1,1,0.12798500000000002
256,34,34,512,1,68,2,1,1,32,1,1,1,1,2,0.23347
256,34,34,512,1,2,8,1,2,16,1,17,1,1,16,0.10342
256,34,34,512,1,2,2,1,1,32,1,1,4,1,16,0.19097999999999998
256,34,34,512,1,2,8,1,1,32,1,2,1,1,32,0.9431
256,34,34,512,1,2,8,1,1,32,1,2,1,1,16,0.114705
256,34,34,512,1,2,4,1,1,32,1,2,2,1,2,0.12288
256,34,34,512,1,4,2,1,1,32,1,1,2,1,16,0.1208
256,34,34,512,1,34,4,1,2,16,1,1,2,1,32,0.41264
256,34,34,512,1,4,2,1,1,32,1,1,2,1,1,0.11571
256,34,34,512,1,2,2,1,1,32,1,2,4,1,4,0.11469
256,34,34,512,1,2,2,1,2,16,1,1,4,1,16,0.10445
256,34,34,512,1,4,8,1,1,32,1,17,1,1,2,0.25242
256,34,34,512,1,2,4,1,1,32,1,2,1,1,16,0.11878
256,34,34,512,1,2,2,1,2,16,1,1,1,1,16,0.10445
256,34,34,512,1,34,2,1,2,16,1,1,8,1,32,0.1679
256,34,34,512,1,34,4,1,1,32,1,2,1,1,32,0.413165
