K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
64,136,136,128,1,2,8,1,16,2,1,1,4,1,64,0.06656
64,136,136,128,1,2,8,1,4,8,1,8,1,1,2,0.06912
64,136,136,128,1,2,2,1,32,1,1,1,4,1,32,0.11059
64,136,136,128,1,2,2,1,1,32,1,8,1,1,32,0.07322000000000001
64,136,136,128,1,34,2,1,1,32,1,2,1,1,64,0.24678
64,136,136,128,1,34,2,1,32,1,1,1,1,1,8,3.483135
64,136,136,128,1,8,2,1,1,32,1,8,1,1,8,0.0553
64,136,136,128,1,2,2,1,16,2,1,2,8,1,4,0.09421
64,136,136,128,1,8,4,1,4,8,1,2,2,1,4,0.05632
64,136,136,128,1,4,2,1,1,32,1,16,1,1,16,0.05731
64,136,136,128,1,32,4,1,2,16,1,1,1,1,2,0.09523
64,136,136,128,1,16,2,1,2,16,1,1,1,1,1,0.09421
64,136,136,128,1,68,2,1,4,8,1,1,1,1,16,0.36352
64,136,136,128,1,34,2,1,2,16,1,2,1,1,32,0.14797
64,136,136,128,1,2,2,1,1,32,1,17,1,1,8,0.1024
64,136,136,128,1,34,2,1,2,16,1,8,1,1,1,0.12291
64,136,136,128,1,2,4,1,8,4,1,2,1,1,128,0.11674
64,136,136,128,1,68,2,1,16,2,1,1,1,1,1,0.423985
64,136,136,128,1,4,2,1,8,4,1,1,1,1,64,0.26419
64,136,136,128,1,32,2,1,1,32,1,1,1,1,32,0.16486
64,136,136,128,1,2,2,1,8,4,1,4,2,1,1,0.125965
64,136,136,128,1,4,2,1,16,2,1,17,1,1,4,0.20171499999999998
64,136,136,128,1,34,2,1,16,2,1,2,2,1,2,0.08499
64,136,136,128,1,2,4,1,8,4,1,2,1,1,64,0.114175
64,136,136,128,1,2,2,1,8,4,1,1,8,1,16,0.07066
64,136,136,128,1,4,4,1,4,8,1,1,2,1,64,0.11773
64,136,136,128,1,8,2,1,4,8,1,1,4,1,128,0.06861
64,136,136,128,1,2,2,1,32,1,1,1,32,1,1,0.17203
64,136,136,128,1,8,4,1,8,4,1,1,2,1,1,0.08294
64,136,136,128,1,34,2,1,32,1,1,1,1,1,2,0.5504
64,136,136,128,1,2,16,1,16,2,1,1,2,1,4,0.05632
64,136,136,128,1,16,2,1,2,16,1,2,1,1,16,0.06603500000000001
64,136,136,128,1,4,4,1,2,16,1,17,1,1,2,0.07885
64,136,136,128,1,2,32,1,16,2,1,2,1,1,4,0.05939
64,136,136,128,1,2,2,1,8,4,1,1,4,1,32,0.07783999999999999
64,136,136,128,1,2,8,1,16,2,1,1,1,1,8,0.06554
64,136,136,128,1,68,2,1,2,16,1,1,1,1,8,0.19149
64,136,136,128,1,4,4,1,8,4,1,2,4,1,16,0.04915
64,136,136,128,1,2,2,1,16,2,1,2,2,1,128,0.1833
64,136,136,128,1,8,4,1,4,8,1,1,1,1,64,0.16435
64,136,136,128,1,2,4,1,4,8,1,2,1,1,32,0.07581
64,136,136,128,1,2,16,1,8,4,1,2,1,1,4,0.05734
64,136,136,128,1,68,2,1,2,16,1,1,2,1,2,0.10445
64,136,136,128,1,8,2,1,8,4,1,1,8,1,4,0.06042
64,136,136,128,1,2,4,1,4,8,1,4,1,1,128,0.074255
64,136,136,128,1,4,4,1,8,4,1,2,2,1,1,0.06352
64,136,136,128,1,68,2,1,4,8,1,1,1,1,1,0.11776
64,136,136,128,1,2,2,1,32,1,1,1,8,1,8,0.07885
64,136,136,128,1,2,8,1,32,1,1,1,8,1,1,0.06963
64,136,136,128,1,2,4,1,4,8,1,17,1,1,2,0.11776
64,136,136,128,1,2,16,1,32,1,1,1,4,1,16,0.04915
64,136,136,128,1,4,4,1,16,2,1,1,4,1,8,0.05427
64,136,136,128,1,2,4,1,8,4,1,2,1,1,2,0.0809
64,136,136,128,1,2,8,1,8,4,1,2,1,1,1,0.06861
64,136,136,128,1,2,4,1,2,16,1,1,1,1,128,0.42499
64,136,136,128,1,2,4,1,16,2,1,17,1,1,1,0.10957
64,136,136,128,1,32,2,1,1,32,1,2,1,1,32,0.06246
64,136,136,128,1,4,4,1,4,8,1,1,1,1,8,0.06552
64,136,136,128,1,4,2,1,2,16,1,2,1,1,1,0.10243
64,136,136,128,1,2,2,1,1,32,1,4,1,1,2,0.11981
64,136,136,128,1,34,4,1,8,4,1,2,1,1,16,0.386575
64,136,136,128,1,2,4,1,32,1,1,1,1,1,64,1.03373
64,136,136,128,1,2,8,1,32,1,1,17,1,1,1,0.15565
64,136,136,128,1,34,2,1,2,16,1,1,1,1,4,0.06758
64,136,136,128,1,8,8,1,8,4,1,1,2,1,2,0.07066
64,136,136,128,1,4,4,1,8,4,1,2,1,1,16,0.062445
64,136,136,128,1,2,8,1,32,1,1,1,8,1,32,0.0512
64,136,136,128,1,34,4,1,16,2,1,2,2,1,4,0.216045
64,136,136,128,1,4,2,1,16,2,1,1,8,1,1,0.09216
64,136,136,128,1,32,2,1,2,16,1,1,2,1,32,0.06246
64,136,136,128,1,2,4,1,8,4,1,1,2,1,4,0.07987
64,136,136,128,1,2,16,1,32,1,1,1,2,1,16,0.06246
64,136,136,128,1,2,2,1,4,8,1,17,1,1,1,0.16998
64,136,136,128,1,2,2,1,2,16,1,1,1,1,2,0.20374
64,136,136,128,1,8,2,1,2,16,1,2,1,1,64,0.08397
64,136,136,128,1,4,2,1,4,8,1,1,1,1,16,0.0768
64,136,136,128,1,2,2,1,32,1,1,1,1,1,1,0.26931
64,136,136,128,1,2,2,1,8,4,1,1,2,1,4,0.09421
64,136,136,128,1,16,2,1,1,32,1,2,1,1,2,0.077805
64,136,136,128,1,2,16,1,32,1,1,1,2,1,128,0.09421
64,136,136,128,1,2,4,1,16,2,1,1,2,1,4,0.08192
64,136,136,128,1,4,4,1,2,16,1,2,1,1,64,0.11776
64,136,136,128,1,68,2,1,4,8,1,1,4,1,4,0.0727
64,136,136,128,1,68,2,1,16,2,1,1,8,1,1,0.15976
64,136,136,128,1,32,2,1,1,32,1,1,1,1,64,0.260625
64,136,136,128,1,8,2,1,1,32,1,4,1,1,4,0.06144
64,136,136,128,1,2,16,1,16,2,1,2,1,1,4,0.05427
64,136,136,128,1,2,8,1,16,2,1,2,2,1,32,0.05632
64,136,136,128,1,4,2,1,1,32,1,17,1,1,64,0.10547
64,136,136,128,1,4,2,1,8,4,1,1,2,1,1,0.09933
64,136,136,128,1,34,4,1,4,8,1,1,1,1,1,0.10957
64,136,136,128,1,2,2,1,1,32,1,32,1,1,2,0.1321
64,136,136,128,1,34,2,1,16,2,1,2,4,1,2,0.10342
64,136,136,128,1,2,4,1,8,4,1,1,1,1,2,0.12083
64,136,136,128,1,4,4,1,4,8,1,4,2,1,16,0.04915
64,136,136,128,1,2,2,1,8,4,1,1,2,1,32,0.089075
64,136,136,128,1,2,4,1,8,4,1,1,2,1,128,0.11162
64,136,136,128,1,4,2,1,2,16,1,8,1,1,8,0.06554
64,136,136,128,1,2,4,1,8,4,1,1,1,1,128,0.1321
64,136,136,128,1,8,2,1,1,32,1,1,1,1,8,0.08806
64,136,136,128,1,4,2,1,1,32,1,17,1,1,4,0.10957
64,136,136,128,1,34,2,1,8,4,1,4,2,1,4,0.08704
64,136,136,128,1,4,4,1,2,16,1,2,1,1,128,0.11162
64,136,136,128,1,2,4,1,32,1,1,1,1,1,16,0.11984
64,136,136,128,1,4,4,1,8,4,1,2,1,1,8,0.06554
64,136,136,128,1,2,2,1,2,16,1,1,1,1,4,0.14234
64,136,136,128,1,4,8,1,8,4,1,1,1,1,4,0.0553
64,136,136,128,1,8,4,1,8,4,1,1,4,1,8,0.052205
64,136,136,128,1,2,2,1,16,2,1,1,8,1,32,0.06963
64,136,136,128,1,34,2,1,2,16,1,4,2,1,16,0.05837
64,136,136,128,1,34,2,1,32,1,1,1,8,1,2,0.102415
64,136,136,128,1,2,2,1,16,2,1,2,4,1,8,0.07786
64,136,136,128,1,8,8,1,8,4,1,1,2,1,4,0.05939
64,136,136,128,1,2,2,1,32,1,1,1,2,1,8,0.11674
64,136,136,128,1,4,2,1,1,32,1,16,1,1,8,0.05837
64,136,136,128,1,68,2,1,2,16,1,2,1,1,4,0.09675500000000001
64,136,136,128,1,4,2,1,8,4,1,17,1,1,2,0.12902
64,136,136,128,1,2,16,1,8,4,1,2,1,1,32,0.062975
64,136,136,128,1,4,2,1,8,4,1,2,2,1,4,0.0809
64,136,136,128,1,4,8,1,4,8,1,2,1,1,64,0.13107
64,136,136,128,1,4,2,1,2,16,1,8,1,1,1,0.09216
64,136,136,128,1,8,2,1,4,8,1,1,1,1,2,0.0768
64,136,136,128,1,8,2,1,2,16,1,4,1,1,32,0.05939
64,136,136,128,1,2,2,1,16,2,1,2,4,1,128,0.10957
64,136,136,128,1,2,8,1,16,2,1,17,1,1,2,0.07782
64,136,136,128,1,4,32,1,16,2,1,1,1,1,16,0.094225
64,136,136,128,1,2,2,1,2,16,1,4,2,1,128,0.08909
64,136,136,128,1,8,2,1,1,32,1,4,1,1,16,0.05427
64,136,136,128,1,16,2,1,4,8,1,1,4,1,32,0.05632
64,136,136,128,1,2,16,1,32,1,1,1,4,1,64,0.05734
64,136,136,128,1,2,2,1,8,4,1,2,4,1,128,0.07425499999999999
64,136,136,128,1,8,2,1,1,32,1,2,1,1,1,0.07987
64,136,136,128,1,4,8,1,8,4,1,1,1,1,64,0.15155
64,136,136,128,1,4,4,1,4,8,1,4,2,1,32,0.05224
64,136,136,128,1,8,8,1,8,4,1,1,1,1,128,0.339985
64,136,136,128,1,8,2,1,1,32,1,2,1,1,8,0.06656
64,136,136,128,1,16,2,1,1,32,1,4,1,1,64,0.05837
64,136,136,128,1,4,4,1,16,2,1,1,8,1,16,0.04915
64,136,136,128,1,2,8,1,16,2,1,1,2,1,128,0.08549999999999999
64,136,136,128,1,2,4,1,8,4,1,4,1,1,128,0.116755
64,136,136,128,1,2,8,1,4,8,1,1,1,1,4,0.07782
64,136,136,128,1,16,8,1,4,8,1,1,1,1,2,0.08192
