K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
128,68,68,256,1,4,2,1,1,32,1,4,1,1,2,0.09315
128,68,68,256,1,2,2,1,4,8,1,2,2,1,4,0.08294
128,68,68,256,1,2,4,1,8,4,1,1,2,1,256,0.16227
128,68,68,256,1,68,2,1,4,8,1,1,2,1,1,0.19354
128,68,68,256,1,34,4,1,1,32,1,4,1,1,16,0.2089
128,68,68,256,1,2,8,1,8,4,1,1,4,1,16,0.0553
128,68,68,256,1,4,4,1,1,32,1,2,1,1,16,0.083955
128,68,68,256,1,2,2,1,2,16,1,1,1,1,2,0.165875
128,68,68,256,1,2,2,1,1,32,1,2,1,1,16,0.102415
128,68,68,256,1,2,4,1,1,32,1,17,1,1,2,0.11981
128,68,68,256,1,2,2,1,4,8,1,1,2,1,64,0.14541
128,68,68,256,1,4,4,1,1,32,1,4,1,1,16,0.056334999999999996
128,68,68,256,1,4,2,1,1,32,1,2,2,1,1,0.08704
128,68,68,256,1,4,4,1,4,8,1,1,4,1,64,0.10342
128,68,68,256,1,2,2,1,2,16,1,4,2,1,32,0.07373
128,68,68,256,1,2,4,1,8,4,1,1,2,1,16,0.068625
128,68,68,256,1,4,4,1,1,32,1,2,1,1,32,0.16998
128,68,68,256,1,2,8,1,2,16,1,17,1,1,4,0.09011
128,68,68,256,1,34,2,1,8,4,1,1,16,1,4,0.19761499999999999
128,68,68,256,1,2,2,1,1,32,1,1,1,1,2,0.19454500000000002
128,68,68,256,1,2,4,1,4,8,1,2,4,1,32,0.065555
128,68,68,256,1,2,4,1,4,8,1,1,4,1,8,0.07117000000000001
128,68,68,256,1,8,4,1,2,16,1,1,1,1,32,0.102385
128,68,68,256,1,4,8,1,2,16,1,2,1,1,8,0.0625
128,68,68,256,1,2,4,1,4,8,1,1,4,1,4,0.07683
128,68,68,256,1,68,2,1,1,32,1,1,1,1,8,0.29798
128,68,68,256,1,2,8,1,8,4,1,1,2,1,2,0.090125
128,68,68,256,1,2,2,1,1,32,1,4,2,1,2,0.11776
128,68,68,256,1,2,2,1,2,16,1,1,2,1,128,1.10541
128,68,68,256,1,8,8,1,2,16,1,1,1,1,64,0.41782
128,68,68,256,1,4,2,1,2,16,1,1,4,1,1,0.08653
128,68,68,256,1,2,2,1,4,8,1,2,4,1,64,0.08397
128,68,68,256,1,2,2,1,8,4,1,1,16,1,1,0.14848
128,68,68,256,1,2,8,1,2,16,1,1,1,1,64,1.3025449999999998
128,68,68,256,1,4,8,1,4,8,1,1,2,1,32,0.08752
128,68,68,256,1,34,4,1,4,8,1,1,1,1,2,0.14643
128,68,68,256,1,2,2,1,4,8,1,1,1,1,256,0.268275
128,68,68,256,1,2,2,1,8,4,1,1,4,1,4,0.08298
128,68,68,256,1,2,2,1,1,32,1,1,2,1,8,0.153055
128,68,68,256,1,4,2,1,1,32,1,1,2,1,2,0.11571
128,68,68,256,1,2,8,1,4,8,1,2,1,1,4,0.0655
128,68,68,256,1,2,4,1,2,16,1,17,1,1,8,0.06352
128,68,68,256,1,34,2,1,4,8,1,2,2,1,2,0.11878
128,68,68,256,1,34,4,1,2,16,1,4,2,1,8,0.17712
128,68,68,256,1,2,4,1,2,16,1,1,1,1,8,0.0911
128,68,68,256,1,8,2,1,1,32,1,2,1,1,128,0.339985
128,68,68,256,1,2,4,1,1,32,1,4,1,1,4,0.07678499999999999
128,68,68,256,1,2,2,1,4,8,1,1,8,1,2,0.11776
128,68,68,256,1,68,2,1,2,16,1,1,2,1,16,0.28979
128,68,68,256,1,2,4,1,4,8,1,2,2,1,128,0.13923
128,68,68,256,1,2,8,1,2,16,1,17,1,1,2,0.12694
128,68,68,256,1,2,2,1,2,16,1,2,1,1,256,0.2591
128,68,68,256,1,2,2,1,8,4,1,1,8,1,4,0.08602
128,68,68,256,1,4,4,1,1,32,1,4,1,1,64,0.10342
128,68,68,256,1,68,2,1,1,32,1,2,2,1,8,0.10954
128,68,68,256,1,34,2,1,2,16,1,1,1,1,64,0.36551999999999996
128,68,68,256,1,34,2,1,8,4,1,1,16,1,1,0.31229
128,68,68,256,1,2,2,1,2,16,1,2,1,1,64,0.14544
128,68,68,256,1,2,16,1,8,4,1,1,2,1,4,0.07274
128,68,68,256,1,2,2,1,4,8,1,2,8,1,32,0.07835500000000001
128,68,68,256,1,2,2,1,2,16,1,1,1,1,32,0.12595
128,68,68,256,1,2,2,1,1,32,1,2,1,1,8,0.100365
128,68,68,256,1,4,4,1,4,8,1,1,2,1,8,0.05734
128,68,68,256,1,2,16,1,8,4,1,17,1,1,16,0.10035
128,68,68,256,1,2,2,1,1,32,1,2,1,1,128,1.103375
128,68,68,256,1,34,4,1,8,4,1,1,4,1,16,0.23757
128,68,68,256,1,4,4,1,4,8,1,1,2,1,32,0.06758
128,68,68,256,1,34,2,1,1,32,1,1,2,1,1,0.1792
128,68,68,256,1,2,8,1,8,4,1,1,1,1,32,0.06967999999999999
128,68,68,256,1,2,8,1,2,16,1,4,1,1,4,0.06858
128,68,68,256,1,16,2,1,1,32,1,1,1,1,128,0.51197
128,68,68,256,1,8,4,1,1,32,1,17,1,1,1,0.2345
128,68,68,256,1,2,16,1,8,4,1,1,2,1,1,0.15054499999999998
128,68,68,256,1,8,8,1,2,16,1,1,1,1,8,0.08294
128,68,68,256,1,34,4,1,1,32,1,8,1,1,2,0.20993499999999998
128,68,68,256,1,2,2,1,4,8,1,2,1,1,256,0.157165
128,68,68,256,1,2,2,1,4,8,1,1,4,1,64,0.10854
128,68,68,256,1,34,4,1,8,4,1,1,4,1,32,0.2591
128,68,68,256,1,4,8,1,4,8,1,1,2,1,16,0.06042
128,68,68,256,1,8,2,1,1,32,1,1,2,1,64,0.48739
128,68,68,256,1,4,4,1,2,16,1,17,1,1,16,0.06346
128,68,68,256,1,4,2,1,4,8,1,17,1,1,1,0.10342
128,68,68,256,1,2,2,1,4,8,1,2,2,1,8,0.0727
128,68,68,256,1,4,4,1,4,8,1,1,4,1,8,0.05734
128,68,68,256,1,34,2,1,2,16,1,2,1,1,1,0.15667
128,68,68,256,1,34,2,1,1,32,1,8,1,1,8,0.11056
128,68,68,256,1,2,32,1,8,4,1,1,1,1,2,0.1249
128,68,68,256,1,2,2,1,1,32,1,1,2,1,2,0.187375
128,68,68,256,1,68,2,1,4,8,1,1,1,1,2,0.16179
128,68,68,256,1,2,2,1,4,8,1,2,8,1,4,0.08912
128,68,68,256,1,34,2,1,1,32,1,2,2,1,2,0.12339
128,68,68,256,1,34,2,1,2,16,1,4,2,1,32,0.0983
128,68,68,256,1,4,8,1,4,8,1,1,1,1,1,0.13921499999999998
128,68,68,256,1,4,2,1,1,32,1,2,2,1,32,0.08857999999999999
128,68,68,256,1,2,16,1,4,8,1,1,1,1,1,0.15768
128,68,68,256,1,4,4,1,2,16,1,2,1,1,64,0.11162
128,68,68,256,1,34,2,1,2,16,1,1,2,1,2,0.11879999999999999
128,68,68,256,1,34,2,1,4,8,1,1,2,1,32,0.202225
128,68,68,256,1,34,4,1,2,16,1,1,1,1,32,0.328175
128,68,68,256,1,8,8,1,2,16,1,1,1,1,2,0.13107
128,68,68,256,1,34,2,1,1,32,1,4,2,1,4,0.13206
128,68,68,256,1,8,2,1,1,32,1,2,1,1,4,0.06758
128,68,68,256,1,2,4,1,1,32,1,2,1,1,1,0.11059
128,68,68,256,1,68,2,1,2,16,1,2,4,1,2,0.23089500000000002
128,68,68,256,1,68,2,1,1,32,1,4,1,1,1,0.19763
128,68,68,256,1,68,2,1,4,8,1,1,4,1,16,0.3072
