K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
64,56,56,64,1,14,2,1,4,8,1,14,1,1,1,0.04605
64,56,56,64,1,8,2,1,2,16,1,2,1,1,64,0.01229
64,56,56,64,1,8,2,1,4,8,1,2,1,1,16,0.01229
64,56,56,64,1,2,4,1,2,16,1,1,1,1,16,0.015345000000000001
64,56,56,64,1,4,2,1,8,4,1,1,2,1,1,0.01539
64,56,56,64,1,4,2,1,2,16,1,7,2,1,64,0.01229
64,56,56,64,1,64,2,1,1,32,1,7,1,1,8,0.05018
64,56,56,64,1,14,2,1,2,16,1,16,1,1,4,0.03072
64,56,56,64,1,14,4,1,2,16,1,16,1,1,1,0.05632
64,56,56,64,1,2,4,1,8,4,1,7,4,1,16,0.01638
64,56,56,64,1,4,2,1,2,16,1,1,1,1,2,0.02048
64,56,56,64,1,2,32,1,16,2,1,1,1,1,64,0.02048
64,56,56,64,1,2,4,1,16,2,1,1,8,1,4,0.01536
64,56,56,64,1,2,2,1,4,8,1,4,2,1,16,0.01226
64,56,56,64,1,2,2,1,8,4,1,1,2,1,64,0.01229
64,56,56,64,1,8,4,1,4,8,1,7,2,1,4,0.02765
64,56,56,64,1,2,2,1,2,16,1,8,2,1,16,0.01331
64,56,56,64,1,4,2,1,2,16,1,4,2,1,4,0.01536
64,56,56,64,1,2,8,1,8,4,1,1,1,1,64,0.01229
64,56,56,64,1,14,2,1,2,16,1,4,1,1,8,0.01485
64,56,56,64,1,4,8,1,8,4,1,2,1,1,8,0.01434
64,56,56,64,1,14,2,1,16,2,1,1,2,1,8,0.01843
64,56,56,64,1,14,4,1,4,8,1,7,2,1,1,0.05837
64,56,56,64,1,4,4,1,8,4,1,7,4,1,1,0.03789
64,56,56,64,1,14,4,1,16,2,1,1,1,1,1,0.03171
64,56,56,64,1,2,2,1,4,8,1,4,2,1,2,0.01946
64,56,56,64,1,8,2,1,1,32,1,1,1,1,16,0.01741
64,56,56,64,1,2,2,1,4,8,1,2,1,1,1,0.01843
64,56,56,64,1,28,4,1,8,4,1,2,4,1,8,0.03891
64,56,56,64,1,2,2,1,2,16,1,1,1,1,1,0.02253
64,56,56,64,1,56,2,1,8,4,1,1,2,1,2,0.0328
64,56,56,64,1,4,4,1,4,8,1,14,2,1,2,0.03277
64,56,56,64,1,16,2,1,1,32,1,4,1,1,32,0.01334
64,56,56,64,1,4,4,1,2,16,1,1,1,1,8,0.01638
64,56,56,64,1,16,2,1,1,32,1,4,1,1,4,0.01741
64,56,56,64,1,4,16,1,16,2,1,1,1,1,16,0.02355
64,56,56,64,1,14,2,1,1,32,1,2,1,1,4,0.018445
64,56,56,64,1,4,2,1,2,16,1,2,1,1,1,0.01536
64,56,56,64,1,2,8,1,8,4,1,14,1,1,1,0.0256
64,56,56,64,1,2,2,1,2,16,1,1,2,1,4,0.01738
64,56,56,64,1,2,16,1,32,1,1,1,1,1,1,0.0256
64,56,56,64,1,2,2,1,1,32,1,7,1,1,4,0.01539
64,56,56,64,1,28,4,1,2,16,1,4,1,1,2,0.03069
64,56,56,64,1,2,2,1,1,32,1,1,1,1,32,0.03178
64,56,56,64,1,4,2,1,1,32,1,16,1,1,2,0.02048
64,56,56,64,1,14,8,1,32,1,1,1,4,1,1,0.03789
64,56,56,64,1,4,2,1,2,16,1,14,2,1,1,0.0297
64,56,56,64,1,8,8,1,4,8,1,14,1,1,2,0.05018
64,56,56,64,1,2,16,1,32,1,1,7,1,1,1,0.03277
64,56,56,64,1,16,2,1,2,16,1,2,2,1,32,0.01434
64,56,56,64,1,56,2,1,1,32,1,1,1,1,1,0.04096
