K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
128,68,68,256,1,4,8,1,2,16,1,1,1,1,8,0.12009500000000001
128,68,68,256,1,2,2,1,2,16,1,1,1,1,2,0.30152
128,68,68,256,1,34,2,1,8,4,1,1,2,1,8,0.1057
128,68,68,256,1,2,2,1,8,4,1,1,8,1,64,0.117235
128,68,68,256,1,34,2,1,2,16,1,1,1,1,1,0.15485
128,68,68,256,1,4,4,1,4,8,1,17,1,1,8,0.08099
128,68,68,256,1,2,8,1,8,4,1,1,4,1,2,0.0943
128,68,68,256,1,8,2,1,2,16,1,1,4,1,16,0.082975
128,68,68,256,1,4,2,1,2,16,1,2,2,1,2,0.14897500000000002
128,68,68,256,1,4,8,1,4,8,1,17,1,1,4,0.113585
128,68,68,256,1,34,2,1,8,4,1,1,8,1,32,0.09507
128,68,68,256,1,34,4,1,4,8,1,1,1,1,1,0.17867
128,68,68,256,1,2,8,1,2,16,1,17,1,1,4,0.08211
128,68,68,256,1,2,8,1,4,8,1,2,1,1,2,0.090975
128,68,68,256,1,2,2,1,1,32,1,1,2,1,64,2.5230550000000003
128,68,68,256,1,34,4,1,4,8,1,2,1,1,1,0.18222
128,68,68,256,1,2,4,1,8,4,1,1,1,1,128,0.29648
128,68,68,256,1,8,2,1,1,32,1,2,1,1,128,0.53008
128,68,68,256,1,2,2,1,2,16,1,2,4,1,64,0.18171500000000002
128,68,68,256,1,2,2,1,2,16,1,4,4,1,16,0.12290999999999999
128,68,68,256,1,2,4,1,2,16,1,4,1,1,64,0.108275
128,68,68,256,1,34,2,1,2,16,1,4,4,1,1,0.29752
128,68,68,256,1,4,4,1,1,32,1,1,1,1,1,0.272355
128,68,68,256,1,34,2,1,8,4,1,1,16,1,1,0.29739499999999996
128,68,68,256,1,34,2,1,2,16,1,1,1,1,4,0.08699
128,68,68,256,1,2,8,1,2,16,1,1,1,1,8,0.157985
128,68,68,256,1,4,4,1,1,32,1,17,1,1,1,0.146755
128,68,68,256,1,34,2,1,4,8,1,2,2,1,2,0.128355
128,68,68,256,1,34,4,1,2,16,1,4,2,1,4,0.16996499999999998
128,68,68,256,1,2,2,1,2,16,1,4,4,1,4,0.16297499999999998
128,68,68,256,1,4,16,1,4,8,1,1,1,1,2,0.10813
128,68,68,256,1,8,2,1,1,32,1,2,1,1,1,0.105955
128,68,68,256,1,2,2,1,8,4,1,1,16,1,32,0.11974
128,68,68,256,1,2,4,1,8,4,1,1,4,1,8,0.09518499999999999
128,68,68,256,1,2,4,1,1,32,1,1,1,1,2,0.276045
128,68,68,256,1,4,2,1,1,32,1,4,1,1,32,0.10194
128,68,68,256,1,8,4,1,1,32,1,2,1,1,1,0.13619
128,68,68,256,1,4,4,1,4,8,1,1,2,1,32,0.090285
128,68,68,256,1,2,2,1,1,32,1,4,2,1,1,0.238545
128,68,68,256,1,4,2,1,1,32,1,1,2,1,1,0.21507500000000002
128,68,68,256,1,2,32,1,8,4,1,1,1,1,16,0.17233500000000002
128,68,68,256,1,34,2,1,4,8,1,2,1,1,32,0.5096499999999999
128,68,68,256,1,34,2,1,4,8,1,2,4,1,32,0.095135
128,68,68,256,1,2,2,1,4,8,1,1,8,1,16,0.1351
128,68,68,256,1,4,2,1,2,16,1,2,4,1,16,0.104865
128,68,68,256,1,2,2,1,8,4,1,1,1,1,1,0.355185
128,68,68,256,1,2,8,1,4,8,1,1,1,1,8,0.10619
128,68,68,256,1,34,4,1,2,16,1,1,2,1,16,0.20928
128,68,68,256,1,2,2,1,2,16,1,4,1,1,8,0.12138
128,68,68,256,1,34,4,1,8,4,1,1,4,1,1,0.17723499999999998
128,68,68,256,1,2,8,1,4,8,1,1,2,1,2,0.10784
128,68,68,256,1,34,2,1,1,32,1,1,2,1,16,0.101505
128,68,68,256,1,2,2,1,1,32,1,17,1,1,64,0.179535
128,68,68,256,1,2,32,1,8,4,1,1,1,1,8,0.104575
128,68,68,256,1,4,2,1,4,8,1,1,1,1,2,0.19067
128,68,68,256,1,4,2,1,2,16,1,2,1,1,128,0.325025
128,68,68,256,1,2,2,1,1,32,1,17,1,1,32,0.17653
128,68,68,256,1,4,8,1,2,16,1,1,1,1,64,0.93272
128,68,68,256,1,2,2,1,2,16,1,1,2,1,1,0.26022
128,68,68,256,1,2,4,1,1,32,1,8,1,1,8,0.096335
128,68,68,256,1,34,2,1,1,32,1,1,1,1,1,0.16097499999999998
128,68,68,256,1,8,4,1,2,16,1,17,1,1,2,0.15299
128,68,68,256,1,68,2,1,1,32,1,2,2,1,2,0.14275
128,68,68,256,1,16,2,1,1,32,1,1,2,1,4,0.096365
128,68,68,256,1,8,2,1,1,32,1,1,2,1,32,0.18035
128,68,68,256,1,2,8,1,4,8,1,2,1,1,128,0.459375
128,68,68,256,1,2,4,1,1,32,1,4,1,1,8,0.11432
128,68,68,256,1,2,2,1,1,32,1,2,2,1,8,0.16383999999999999
128,68,68,256,1,68,2,1,2,16,1,2,4,1,4,0.187695
128,68,68,256,1,2,2,1,4,8,1,17,1,1,64,0.141615
128,68,68,256,1,34,4,1,8,4,1,1,8,1,16,0.20248
128,68,68,256,1,68,2,1,1,32,1,2,2,1,8,0.1055
128,68,68,256,1,34,2,1,1,32,1,2,2,1,32,0.080815
128,68,68,256,1,2,4,1,8,4,1,1,2,1,256,0.280655
128,68,68,256,1,2,16,1,4,8,1,2,1,1,1,0.14037
128,68,68,256,1,4,2,1,1,32,1,4,1,1,128,0.25886
128,68,68,256,1,4,2,1,1,32,1,4,2,1,64,0.12256
128,68,68,256,1,4,2,1,2,16,1,2,1,1,2,0.15437
128,68,68,256,1,2,2,1,1,32,1,1,2,1,32,0.305905
128,68,68,256,1,8,4,1,2,16,1,1,2,1,64,0.44562999999999997
128,68,68,256,1,2,4,1,8,4,1,17,1,1,4,0.13144
128,68,68,256,1,34,2,1,4,8,1,1,2,1,64,0.32696000000000003
128,68,68,256,1,34,4,1,1,32,1,4,1,1,1,0.176035
128,68,68,256,1,8,2,1,2,16,1,1,4,1,64,0.22957
128,68,68,256,1,16,4,1,1,32,1,1,1,1,2,0.12136
128,68,68,256,1,34,4,1,4,8,1,1,2,1,4,0.107955
128,68,68,256,1,68,2,1,4,8,1,1,8,1,8,0.16765
128,68,68,256,1,68,2,1,2,16,1,1,1,1,2,0.14272
128,68,68,256,1,2,8,1,4,8,1,1,1,1,64,0.516275
128,68,68,256,1,34,2,1,4,8,1,2,1,1,4,0.12525
128,68,68,256,1,16,2,1,1,32,1,1,1,1,1,0.14096
128,68,68,256,1,2,2,1,4,8,1,2,2,1,1,0.24019
128,68,68,256,1,4,4,1,1,32,1,4,1,1,32,0.091505
128,68,68,256,1,34,2,1,2,16,1,2,1,1,16,0.09446
128,68,68,256,1,2,2,1,4,8,1,1,2,1,16,0.141295
128,68,68,256,1,68,2,1,1,32,1,1,2,1,4,0.12147
128,68,68,256,1,2,2,1,4,8,1,2,4,1,4,0.151615
128,68,68,256,1,34,4,1,4,8,1,1,2,1,1,0.171825
128,68,68,256,1,2,4,1,8,4,1,1,1,1,2,0.186
128,68,68,256,1,34,2,1,8,4,1,1,4,1,2,0.128735
128,68,68,256,1,34,2,1,8,4,1,1,1,1,16,0.890065
128,68,68,256,1,2,2,1,4,8,1,2,1,1,256,0.221325
