K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
64,56,56,64,1,56,2,1,1,32,1,2,1,1,4,0.0264
64,56,56,64,1,14,2,1,2,16,1,1,2,1,1,0.026625
64,56,56,64,1,8,2,1,1,32,1,2,1,1,8,0.01373
64,56,56,64,1,2,4,1,4,8,1,14,2,1,32,0.01443
64,56,56,64,1,28,2,1,4,8,1,1,1,1,2,0.0228
64,56,56,64,1,14,2,1,4,8,1,2,2,1,32,0.01366
64,56,56,64,1,28,4,1,4,8,1,1,2,1,8,0.024305
64,56,56,64,1,4,4,1,4,8,1,2,1,1,64,0.011120000000000001
64,56,56,64,1,2,8,1,16,2,1,14,2,1,4,0.02618
64,56,56,64,1,2,2,1,1,32,1,14,1,1,2,0.02182
64,56,56,64,1,4,2,1,2,16,1,14,1,1,8,0.01722
64,56,56,64,1,28,4,1,8,4,1,2,4,1,8,0.0377
64,56,56,64,1,4,4,1,4,8,1,1,2,1,8,0.01248
64,56,56,64,1,14,8,1,16,2,1,1,4,1,16,0.03558
64,56,56,64,1,28,2,1,4,8,1,2,2,1,1,0.028720000000000002
64,56,56,64,1,56,2,1,2,16,1,4,2,1,2,0.04899
64,56,56,64,1,2,8,1,8,4,1,1,2,1,2,0.01712
64,56,56,64,1,8,2,1,4,8,1,1,4,1,32,0.0129
64,56,56,64,1,8,2,1,2,16,1,1,2,1,16,0.013395
64,56,56,64,1,2,2,1,1,32,1,32,1,1,4,0.02101
64,56,56,64,1,8,2,1,2,16,1,1,1,1,32,0.01341
64,56,56,64,1,2,2,1,4,8,1,4,4,1,16,0.01456
64,56,56,64,1,2,16,1,8,4,1,2,1,1,32,0.01306
64,56,56,64,1,32,2,1,2,16,1,1,2,1,64,0.01864
64,56,56,64,1,14,4,1,16,2,1,1,8,1,4,0.025695000000000003
64,56,56,64,1,28,2,1,2,16,1,2,2,1,64,0.017455
64,56,56,64,1,2,2,1,2,16,1,8,1,1,2,0.01952
64,56,56,64,1,2,2,1,2,16,1,7,2,1,16,0.01597
64,56,56,64,1,14,2,1,1,32,1,8,1,1,32,0.01517
64,56,56,64,1,2,8,1,16,2,1,1,2,1,1,0.01693
64,56,56,64,1,14,4,1,2,16,1,8,1,1,2,0.02922
64,56,56,64,1,28,2,1,4,8,1,1,4,1,32,0.01709
64,56,56,64,1,2,8,1,16,2,1,14,2,1,2,0.03126
64,56,56,64,1,14,2,1,2,16,1,2,2,1,4,0.01613
64,56,56,64,1,2,4,1,2,16,1,8,1,1,32,0.011635
64,56,56,64,1,2,16,1,32,1,1,1,1,1,1,0.02458
64,56,56,64,1,16,2,1,1,32,1,1,1,1,32,0.029949999999999997
64,56,56,64,1,14,2,1,1,32,1,32,1,1,2,0.05373
64,56,56,64,1,4,4,1,16,2,1,1,8,1,16,0.0121
64,56,56,64,1,8,2,1,1,32,1,4,1,1,64,0.01267
64,56,56,64,1,2,2,1,8,4,1,2,8,1,32,0.01459
64,56,56,64,1,2,2,1,32,1,1,1,16,1,16,0.01443
64,56,56,64,1,2,4,1,16,2,1,1,2,1,64,0.014735
64,56,56,64,1,14,4,1,2,16,1,8,1,1,32,0.0215
64,56,56,64,1,14,4,1,4,8,1,2,1,1,1,0.02694
64,56,56,64,1,8,4,1,8,4,1,7,2,1,8,0.02557
64,56,56,64,1,28,4,1,8,4,1,7,1,1,1,0.06118
64,56,56,64,1,4,2,1,8,4,1,2,1,1,8,0.015629999999999998
64,56,56,64,1,2,2,1,8,4,1,7,1,1,2,0.0224
64,56,56,64,1,8,8,1,4,8,1,2,1,1,64,0.015805
64,56,56,64,1,14,2,1,1,32,1,14,1,1,1,0.04112
64,56,56,64,1,28,2,1,16,2,1,1,8,1,4,0.03082
64,56,56,64,1,56,2,1,4,8,1,1,1,1,4,0.095245
64,56,56,64,1,2,4,1,16,2,1,1,1,1,64,0.01677
64,56,56,64,1,14,4,1,4,8,1,2,1,1,2,0.02038
64,56,56,64,1,14,2,1,2,16,1,2,1,1,16,0.01483
64,56,56,64,1,14,2,1,16,2,1,1,16,1,1,0.04186
64,56,56,64,1,2,2,1,8,4,1,14,1,1,2,0.02237
64,56,56,64,1,2,16,1,32,1,1,1,2,1,16,0.013155
64,56,56,64,1,2,4,1,32,1,1,1,4,1,2,0.016575
64,56,56,64,1,2,8,1,32,1,1,1,1,1,4,0.01581
64,56,56,64,1,4,8,1,4,8,1,4,1,1,4,0.01485
64,56,56,64,1,2,4,1,16,2,1,7,1,1,8,0.01526
64,56,56,64,1,4,4,1,8,4,1,7,2,1,2,0.022995
64,56,56,64,1,4,2,1,2,16,1,4,2,1,2,0.01859
64,56,56,64,1,28,2,1,8,4,1,2,2,1,2,0.0255
64,56,56,64,1,32,2,1,1,32,1,7,1,1,1,0.04259
64,56,56,64,1,8,2,1,2,16,1,7,1,1,4,0.01642
64,56,56,64,1,8,8,1,4,8,1,7,1,1,1,0.03811
64,56,56,64,1,8,2,1,2,16,1,1,2,1,32,0.013745
64,56,56,64,1,8,2,1,8,4,1,7,4,1,16,0.02566
64,56,56,64,1,14,2,1,2,16,1,7,2,1,4,0.02637
64,56,56,64,1,2,2,1,2,16,1,14,1,1,2,0.02419
64,56,56,64,1,28,2,1,8,4,1,1,1,1,8,0.049805
64,56,56,64,1,28,2,1,2,16,1,8,2,1,2,0.0552
64,56,56,64,1,8,2,1,8,4,1,1,1,1,1,0.01891
64,56,56,64,1,2,2,1,4,8,1,28,1,1,32,0.016204999999999997
64,56,56,64,1,14,2,1,16,2,1,2,4,1,2,0.027245
64,56,56,64,1,4,8,1,8,4,1,1,1,1,64,0.013235
64,56,56,64,1,14,8,1,8,4,1,4,1,1,2,0.0304
64,56,56,64,1,28,4,1,4,8,1,2,2,1,8,0.02397
64,56,56,64,1,8,2,1,2,16,1,4,2,1,2,0.020545
64,56,56,64,1,4,8,1,4,8,1,7,1,1,16,0.014624999999999999
64,56,56,64,1,2,4,1,8,4,1,7,2,1,16,0.01312
64,56,56,64,1,8,2,1,8,4,1,7,1,1,8,0.0185
64,56,56,64,1,4,4,1,16,2,1,7,1,1,4,0.01786
64,56,56,64,1,14,4,1,4,8,1,2,2,1,1,0.02771
64,56,56,64,1,2,2,1,16,2,1,1,8,1,16,0.01366
64,56,56,64,1,4,2,1,8,4,1,2,1,1,2,0.01837
64,56,56,64,1,4,4,1,4,8,1,4,1,1,1,0.01619
64,56,56,64,1,4,4,1,2,16,1,1,1,1,32,0.01901
64,56,56,64,1,2,2,1,8,4,1,1,2,1,8,0.017294999999999998
64,56,56,64,1,56,2,1,4,8,1,1,2,1,2,0.02906
64,56,56,64,1,2,2,1,4,8,1,14,1,1,64,0.01693
64,56,56,64,1,14,2,1,4,8,1,1,2,1,8,0.015564999999999999
64,56,56,64,1,4,2,1,1,32,1,16,1,1,8,0.01574
64,56,56,64,1,8,2,1,8,4,1,1,8,1,64,0.01382
64,56,56,64,1,4,2,1,8,4,1,1,2,1,2,0.01734
64,56,56,64,1,4,4,1,16,2,1,7,2,1,16,0.01718
64,56,56,64,1,8,8,1,4,8,1,7,1,1,4,0.026735000000000002
64,56,56,64,1,4,2,1,4,8,1,1,4,1,16,0.013840000000000002
64,56,56,64,1,14,2,1,2,16,1,1,2,1,16,0.016595
64,56,56,64,1,14,2,1,8,4,1,7,2,1,1,0.04467
64,56,56,64,1,2,32,1,16,2,1,2,1,1,16,0.01731
64,56,56,64,1,14,2,1,16,2,1,1,2,1,8,0.018895000000000002
64,56,56,64,1,8,2,1,2,16,1,2,2,1,16,0.0129
64,56,56,64,1,2,4,1,4,8,1,7,1,1,32,0.0137
64,56,56,64,1,2,8,1,4,8,1,14,1,1,64,0.01357
