K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
256,34,34,512,1,2,2,1,1,32,1,2,4,1,1,0.252545
256,34,34,512,1,2,2,1,1,32,1,2,1,1,64,0.22125
256,34,34,512,1,2,2,1,2,16,1,1,2,1,2,0.234705
256,34,34,512,1,2,8,1,2,16,1,1,1,1,32,1.1105800000000001
256,34,34,512,1,34,2,1,1,32,1,1,1,1,8,0.11960000000000001
256,34,34,512,1,4,2,1,1,32,1,17,1,1,32,0.14333
256,34,34,512,1,4,8,1,1,32,1,1,1,1,32,1.82917
256,34,34,512,1,2,2,1,1,32,1,2,2,1,16,0.15790500000000002
256,34,34,512,1,4,8,1,1,32,1,17,1,1,8,0.17978
256,34,34,512,1,2,8,1,2,16,1,1,1,1,64,2.00043
256,34,34,512,1,4,4,1,1,32,1,17,1,1,1,0.226095
256,34,34,512,1,2,2,1,2,16,1,1,2,1,16,0.15149
256,34,34,512,1,2,4,1,2,16,1,1,2,1,16,0.14459499999999997
256,34,34,512,1,68,2,1,1,32,1,1,2,1,16,0.497855
256,34,34,512,1,34,2,1,1,32,1,2,1,1,4,0.12647999999999998
256,34,34,512,1,34,4,1,1,32,1,2,1,1,4,0.18068499999999998
256,34,34,512,1,34,4,1,1,32,1,2,2,1,4,0.19470500000000002
256,34,34,512,1,2,2,1,1,32,1,17,1,1,4,0.23102499999999998
256,34,34,512,1,4,8,1,1,32,1,1,1,1,1,0.23118499999999997
256,34,34,512,1,2,4,1,2,16,1,17,1,1,1,0.14978
256,34,34,512,1,2,8,1,1,32,1,17,1,1,16,0.136915
256,34,34,512,1,2,2,1,2,16,1,1,1,1,128,1.08502
256,34,34,512,1,34,4,1,1,32,1,2,1,1,1,0.25504000000000004
256,34,34,512,1,34,2,1,1,32,1,2,1,1,32,0.26561500000000005
256,34,34,512,1,34,4,1,2,16,1,1,4,1,1,0.26839999999999997
256,34,34,512,1,68,2,1,1,32,1,1,4,1,2,0.23784
256,34,34,512,1,2,8,1,2,16,1,1,1,1,8,0.15648
256,34,34,512,1,2,4,1,1,32,1,2,2,1,16,0.16630499999999998
256,34,34,512,1,68,2,1,1,32,1,1,1,1,16,0.53626
256,34,34,512,1,4,8,1,1,32,1,17,1,1,4,0.19997
256,34,34,512,1,2,2,1,1,32,1,2,2,1,32,0.17442
256,34,34,512,1,34,2,1,1,32,1,2,1,1,64,0.32538
256,34,34,512,1,2,16,1,2,16,1,1,1,1,2,0.23638
256,34,34,512,1,4,2,1,1,32,1,1,2,1,2,0.187295
256,34,34,512,1,34,2,1,2,16,1,1,4,1,2,0.16046500000000002
256,34,34,512,1,4,2,1,1,32,1,17,1,1,64,0.14642
256,34,34,512,1,68,2,1,1,32,1,1,1,1,64,0.46669000000000005
256,34,34,512,1,2,8,1,1,32,1,2,1,1,32,1.741265
256,34,34,512,1,2,4,1,2,16,1,1,1,1,16,0.14616
256,34,34,512,1,34,4,1,2,16,1,1,2,1,2,0.21315
256,34,34,512,1,2,8,1,1,32,1,1,1,1,16,1.97859
256,34,34,512,1,34,2,1,2,16,1,1,1,1,64,0.30544
256,34,34,512,1,2,8,1,2,16,1,1,2,1,2,0.16776000000000002
256,34,34,512,1,2,2,1,2,16,1,1,4,1,1,0.24177500000000002
256,34,34,512,1,2,2,1,1,32,1,1,1,1,1,0.426865
