K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
64,136,136,128,1,2,8,1,8,4,1,1,2,1,64,0.146675
64,136,136,128,1,34,4,1,8,4,1,2,1,1,8,0.31099
64,136,136,128,1,4,4,1,8,4,1,2,1,1,8,0.07811
64,136,136,128,1,4,8,1,8,4,1,1,2,1,1,0.08819
64,136,136,128,1,4,8,1,4,8,1,2,1,1,2,0.06784
64,136,136,128,1,2,8,1,16,2,1,1,1,1,128,0.21964499999999998
64,136,136,128,1,8,2,1,4,8,1,17,1,1,2,0.14909
64,136,136,128,1,34,2,1,4,8,1,4,2,1,4,0.09293
64,136,136,128,1,68,2,1,1,32,1,1,1,1,2,0.10408
64,136,136,128,1,2,2,1,32,1,1,1,16,1,2,0.213055
64,136,136,128,1,2,4,1,32,1,1,1,8,1,1,0.13469
64,136,136,128,1,2,4,1,4,8,1,8,1,1,16,0.078195
64,136,136,128,1,2,16,1,16,2,1,2,2,1,8,0.060605
64,136,136,128,1,8,4,1,4,8,1,1,2,1,4,0.06651
64,136,136,128,1,34,4,1,2,16,1,2,1,1,8,0.123635
64,136,136,128,1,2,2,1,1,32,1,8,1,1,1,0.2231
64,136,136,128,1,4,8,1,4,8,1,4,1,1,2,0.065825
64,136,136,128,1,4,2,1,16,2,1,1,8,1,16,0.09126
64,136,136,128,1,4,2,1,16,2,1,1,2,1,64,0.54963
64,136,136,128,1,32,2,1,1,32,1,1,1,1,16,0.13235
64,136,136,128,1,8,2,1,1,32,1,2,1,1,32,0.088225
64,136,136,128,1,34,2,1,1,32,1,1,1,1,4,0.08838499999999999
64,136,136,128,1,2,2,1,4,8,1,17,1,1,8,0.167795
64,136,136,128,1,4,4,1,4,8,1,1,2,1,16,0.077985
64,136,136,128,1,4,4,1,4,8,1,4,2,1,16,0.06477
64,136,136,128,1,2,2,1,16,2,1,2,1,1,8,0.23869
64,136,136,128,1,2,2,1,1,32,1,17,1,1,16,0.18032
64,136,136,128,1,2,2,1,8,4,1,4,1,1,4,0.15896
64,136,136,128,1,4,4,1,16,2,1,1,2,1,128,0.212865
64,136,136,128,1,4,4,1,16,2,1,1,8,1,1,0.108815
64,136,136,128,1,2,4,1,32,1,1,1,4,1,128,0.15524500000000002
64,136,136,128,1,8,16,1,8,4,1,1,1,1,8,0.08552
64,136,136,128,1,34,2,1,8,4,1,4,2,1,4,0.10089500000000001
64,136,136,128,1,16,2,1,4,8,1,17,1,1,2,0.129425
64,136,136,128,1,4,2,1,4,8,1,2,4,1,64,0.093905
64,136,136,128,1,2,8,1,8,4,1,2,2,1,32,0.066385
64,136,136,128,1,4,8,1,16,2,1,1,1,1,8,0.07517
64,136,136,128,1,2,2,1,16,2,1,2,8,1,8,0.120545
64,136,136,128,1,2,4,1,32,1,1,1,1,1,2,0.215775
64,136,136,128,1,2,4,1,16,2,1,1,2,1,8,0.09734499999999999
64,136,136,128,1,2,8,1,4,8,1,4,1,1,128,0.100495
64,136,136,128,1,2,2,1,1,32,1,16,1,1,16,0.10768
64,136,136,128,1,34,2,1,8,4,1,1,2,1,1,0.12012500000000001
64,136,136,128,1,4,2,1,8,4,1,2,1,1,128,0.33616
64,136,136,128,1,2,8,1,8,4,1,17,1,1,16,0.075345
64,136,136,128,1,8,2,1,2,16,1,1,1,1,2,0.131475
64,136,136,128,1,2,2,1,4,8,1,1,2,1,16,0.144175
64,136,136,128,1,2,2,1,4,8,1,8,2,1,64,0.11466
64,136,136,128,1,68,2,1,8,4,1,1,1,1,16,1.514035
64,136,136,128,1,68,2,1,8,4,1,1,8,1,1,0.144335
64,136,136,128,1,2,16,1,16,2,1,2,2,1,1,0.090095
