K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
256,14,14,128,1,1,1,1,32,2,1,1,0.11757000000000001
256,14,14,128,1,8,1,7,32,2,1,16,0.045759999999999995
256,14,14,128,1,8,1,7,32,1,1,1,0.147405
256,14,14,128,1,2,2,14,32,7,1,8,0.0319
256,14,14,128,1,4,1,1,32,1,2,32,0.16205
256,14,14,128,1,2,1,2,32,1,1,16,0.097105
256,14,14,128,1,8,1,7,32,7,1,1,0.15898
256,14,14,128,1,8,1,1,32,1,2,1,0.13213000000000003
256,14,14,128,1,2,1,1,32,14,1,32,0.24260500000000002
256,14,14,128,1,1,1,7,32,2,2,1,0.07443
256,14,14,128,1,1,1,7,32,1,2,8,0.021310000000000003
256,14,14,128,1,2,1,14,32,2,1,4,0.03456
256,14,14,128,1,2,2,7,32,1,2,4,0.0343
256,14,14,128,1,1,1,7,32,2,2,4,0.02717
256,14,14,128,1,2,1,7,32,7,1,8,0.02723
256,14,14,128,1,1,2,2,32,1,7,16,0.045645
256,14,14,128,1,2,1,14,32,7,1,16,0.02262
256,14,14,128,1,1,1,14,32,14,1,1,0.13402
256,14,14,128,1,2,1,1,32,1,1,16,0.20526499999999998
256,14,14,128,1,1,1,2,32,1,1,4,0.088465
256,14,14,128,1,1,1,1,32,2,2,32,0.20638499999999999
256,14,14,128,1,2,1,1,32,2,1,2,0.07258
256,14,14,128,1,1,1,14,32,7,1,2,0.056145
256,14,14,128,1,2,1,1,32,2,2,16,0.103955
256,14,14,128,1,1,1,14,32,2,1,1,0.09683
256,14,14,128,1,8,1,14,32,1,1,32,0.0425
256,14,14,128,1,1,1,7,32,7,1,4,0.03347
256,14,14,128,1,1,1,1,32,1,14,2,0.09011
256,14,14,128,1,4,1,1,32,1,1,4,0.09773
256,14,14,128,1,8,1,7,32,1,2,1,0.12454
256,14,14,128,1,2,2,2,32,1,1,8,0.06384
256,14,14,128,1,8,1,1,32,14,1,32,0.21827
256,14,14,128,1,1,2,14,32,1,1,1,0.07957
256,14,14,128,1,1,1,14,32,7,1,32,0.028915
256,14,14,128,1,2,1,1,32,14,2,8,0.095965
256,14,14,128,1,1,1,7,32,14,1,8,0.02754
256,14,14,128,1,8,1,1,32,1,14,16,0.09539
256,14,14,128,1,8,1,1,32,2,14,16,0.10278
256,14,14,128,1,1,1,1,32,1,2,16,0.13293
256,14,14,128,1,4,1,1,32,14,1,4,0.06579499999999999
256,14,14,128,1,8,1,7,32,1,1,2,0.09078
256,14,14,128,1,1,1,1,32,1,1,2,0.17363499999999998
256,14,14,128,1,8,1,2,32,2,7,16,0.061615
256,14,14,128,1,1,1,2,32,2,7,1,0.07482
256,14,14,128,1,2,1,7,32,7,2,8,0.02467
256,14,14,128,1,8,1,7,32,1,1,4,0.06246
256,14,14,128,1,4,2,14,32,7,1,2,0.1017
256,14,14,128,1,1,1,1,32,2,7,8,0.10778
256,14,14,128,1,4,1,14,32,14,1,4,0.06525
256,14,14,128,1,1,1,2,32,14,1,8,0.08106
256,14,14,128,1,8,1,14,32,7,1,32,0.043795
256,14,14,128,1,2,2,7,32,1,2,16,0.02118
256,14,14,128,1,8,1,1,32,14,2,8,0.06972500000000001
256,14,14,128,1,8,1,1,32,2,1,16,0.12006
256,14,14,128,1,2,1,1,32,1,14,8,0.08055999999999999
256,14,14,128,1,1,2,7,32,1,2,1,0.09638
256,14,14,128,1,1,1,2,32,1,1,32,0.20192
256,14,14,128,1,2,1,1,32,7,2,16,0.12144
256,14,14,128,1,8,1,1,32,7,2,16,0.110545
256,14,14,128,1,4,1,2,32,1,1,1,0.13611499999999999
256,14,14,128,1,1,2,2,32,1,1,16,0.095825
256,14,14,128,1,1,1,7,32,1,2,32,0.034995
256,14,14,128,1,1,1,2,32,1,7,32,0.10739
256,14,14,128,1,1,2,2,32,7,1,4,0.04656
256,14,14,128,1,4,1,2,32,1,1,4,0.05443
256,14,14,128,1,2,1,2,32,7,1,4,0.04496
256,14,14,128,1,8,1,14,32,7,1,8,0.0559
256,14,14,128,1,1,1,1,32,2,14,4,0.107565
256,14,14,128,1,2,2,14,32,1,1,1,0.091475
256,14,14,128,1,2,1,1,32,1,2,32,0.168655
256,14,14,128,1,4,1,2,32,7,1,16,0.074465
256,14,14,128,1,4,2,7,32,7,1,32,0.04333
256,14,14,128,1,2,1,1,32,1,7,32,0.16845
256,14,14,128,1,4,2,2,32,7,1,16,0.06152
256,14,14,128,1,2,1,2,32,2,7,1,0.08086
256,14,14,128,1,1,1,1,32,7,2,2,0.095825
256,14,14,128,1,2,1,14,32,14,1,32,0.02744
256,14,14,128,1,8,1,2,32,2,7,1,0.16232
256,14,14,128,1,4,2,7,32,7,1,8,0.04435
256,14,14,128,1,4,1,1,32,1,2,16,0.093455
256,14,14,128,1,4,1,7,32,2,1,32,0.042145
256,14,14,128,1,2,1,7,32,14,1,4,0.04218
256,14,14,128,1,4,1,1,32,2,1,4,0.06077
256,14,14,128,1,4,1,7,32,14,2,16,0.03715
256,14,14,128,1,2,1,1,32,7,2,32,0.196465
256,14,14,128,1,4,2,14,32,7,1,8,0.050545
256,14,14,128,1,1,1,2,32,14,1,2,0.06392
256,14,14,128,1,1,1,7,32,2,1,1,0.09677
256,14,14,128,1,1,1,14,32,1,1,16,0.02632
256,14,14,128,1,2,1,14,32,2,1,8,0.02445
256,14,14,128,1,1,2,14,32,7,1,8,0.0249
256,14,14,128,1,4,1,2,32,2,1,2,0.08024
256,14,14,128,1,4,1,7,32,1,1,8,0.037955
256,14,14,128,1,2,1,7,32,14,1,16,0.027585
256,14,14,128,1,4,1,14,32,7,1,1,0.136785
256,14,14,128,1,1,2,7,32,1,2,8,0.02182
256,14,14,128,1,2,1,1,32,2,7,1,0.08573
256,14,14,128,1,4,1,7,32,1,1,2,0.075505
256,14,14,128,1,4,1,1,32,14,2,16,0.12336
256,14,14,128,1,1,1,1,32,2,7,16,0.14317
256,14,14,128,1,1,1,2,32,7,1,1,0.101965
256,14,14,128,1,4,2,14,32,1,1,4,0.0512
256,14,14,128,1,2,1,2,32,7,1,8,0.054465
256,14,14,128,1,4,1,1,32,2,2,16,0.09351999999999999
256,14,14,128,1,8,1,1,32,2,2,2,0.08762
256,14,14,128,1,8,1,1,32,2,2,8,0.0656
256,14,14,128,1,2,1,2,32,1,7,32,0.08234
256,14,14,128,1,4,1,1,32,1,1,2,0.07708999999999999
256,14,14,128,1,2,2,7,32,7,2,32,0.027424999999999998
256,14,14,128,1,4,1,7,32,2,1,1,0.13206
256,14,14,128,1,4,1,2,32,7,1,8,0.05256
256,14,14,128,1,2,1,2,32,2,1,32,0.10672
256,14,14,128,1,1,1,7,32,14,1,2,0.062384999999999996
256,14,14,128,1,2,1,7,32,2,2,2,0.04653
256,14,14,128,1,4,1,14,32,14,1,8,0.0448
256,14,14,128,1,2,1,7,32,2,1,32,0.03843
256,14,14,128,1,1,2,7,32,7,2,8,0.025695
256,14,14,128,1,8,1,1,32,2,14,1,0.16913499999999998
256,14,14,128,1,2,1,2,32,14,1,1,0.113295
256,14,14,128,1,8,1,14,32,2,1,8,0.04819
256,14,14,128,1,8,1,1,32,1,7,16,0.093855
256,14,14,128,1,4,2,7,32,7,2,32,0.031439999999999996
256,14,14,128,1,8,1,1,32,14,2,2,0.11747
256,14,14,128,1,2,1,1,32,2,7,16,0.1065
256,14,14,128,1,4,2,14,32,7,1,4,0.06755
256,14,14,128,1,8,1,2,32,1,1,8,0.0668
256,14,14,128,1,1,1,14,32,7,1,1,0.10368
256,14,14,128,1,2,1,7,32,14,1,8,0.02886
256,14,14,128,1,2,1,1,32,1,7,2,0.05088
256,14,14,128,1,4,1,7,32,2,2,4,0.0424
256,14,14,128,1,1,1,7,32,1,2,4,0.026045
256,14,14,128,1,4,1,14,32,2,1,4,0.04365
256,14,14,128,1,1,1,1,32,14,2,4,0.11648
256,14,14,128,1,4,1,1,32,1,7,8,0.06259
256,14,14,128,1,8,2,7,32,7,1,2,0.11955
256,14,14,128,1,2,2,7,32,1,1,32,0.043859999999999996
256,14,14,128,1,1,1,2,32,14,1,32,0.145745
256,14,14,128,1,4,1,2,32,2,1,32,0.11222499999999999
256,14,14,128,1,4,2,2,32,1,7,1,0.11091
256,14,14,128,1,4,1,1,32,2,14,2,0.06992
256,14,14,128,1,2,2,2,32,7,1,2,0.07053
256,14,14,128,1,4,1,1,32,7,2,8,0.07288
256,14,14,128,1,4,1,1,32,1,1,16,0.17140499999999997
256,14,14,128,1,8,1,14,32,2,1,2,0.088045
256,14,14,128,1,8,2,7,32,1,2,16,0.0423
256,14,14,128,1,8,2,7,32,1,1,4,0.076275
256,14,14,128,1,8,1,7,32,14,1,8,0.062355
256,14,14,128,1,2,1,7,32,7,1,2,0.06144
256,14,14,128,1,1,1,1,32,1,1,8,0.21870499999999998
256,14,14,128,1,8,1,7,32,7,2,1,0.16430499999999998
256,14,14,128,1,4,1,7,32,14,2,1,0.17565
256,14,14,128,1,1,1,1,32,2,14,32,0.23435499999999998
256,14,14,128,1,2,1,2,32,2,7,2,0.04688
256,14,14,128,1,2,1,7,32,7,1,1,0.11032
256,14,14,128,1,4,1,1,32,14,1,16,0.13233499999999998
256,14,14,128,1,8,1,7,32,1,2,4,0.057075
256,14,14,128,1,2,2,14,32,7,1,16,0.02618
256,14,14,128,1,4,1,1,32,1,14,2,0.06234
256,14,14,128,1,4,2,7,32,7,1,16,0.03944
256,14,14,128,1,1,1,2,32,1,7,8,0.05706
256,14,14,128,1,8,1,7,32,2,2,2,0.0809
256,14,14,128,1,8,1,7,32,2,2,16,0.0436
256,14,14,128,1,2,1,7,32,7,1,4,0.03712
256,14,14,128,1,2,1,1,32,7,2,8,0.08701
256,14,14,128,1,1,1,1,32,2,14,2,0.09728
256,14,14,128,1,8,1,7,32,1,2,8,0.046525
256,14,14,128,1,1,1,1,32,2,2,2,0.090385
256,14,14,128,1,4,2,7,32,1,1,1,0.101425
256,14,14,128,1,2,1,14,32,2,1,32,0.025935
256,14,14,128,1,4,1,1,32,2,7,2,0.06211
256,14,14,128,1,2,1,2,32,2,7,4,0.032755
256,14,14,128,1,8,1,2,32,14,1,16,0.080205
256,14,14,128,1,1,1,1,32,1,2,8,0.098065
256,14,14,128,1,1,2,7,32,1,1,32,0.04611
256,14,14,128,1,8,1,7,32,7,1,2,0.09784000000000001
256,14,14,128,1,1,2,7,32,7,2,16,0.0232
256,14,14,128,1,8,1,1,32,2,1,1,0.16571
256,14,14,128,1,8,1,2,32,1,1,32,0.14477
256,14,14,128,1,4,2,2,32,7,1,4,0.062735
256,14,14,128,1,1,1,7,32,2,2,2,0.04182
256,14,14,128,1,2,1,1,32,7,1,32,0.23808
