K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
128,28,28,64,1,1,4,7,32,1,2,16,0.029775000000000003
128,28,28,64,1,4,4,4,32,1,1,4,0.06458
128,28,28,64,1,2,1,2,32,14,1,2,0.04454
128,28,28,64,1,4,4,7,32,1,1,4,0.06506
128,28,28,64,1,4,1,2,32,2,2,2,0.047534999999999994
128,28,28,64,1,4,4,4,32,1,1,8,0.0631
128,28,28,64,1,4,1,2,32,2,2,8,0.059155
128,28,28,64,1,2,4,7,32,1,1,4,0.041264999999999996
128,28,28,64,1,4,1,2,32,7,1,2,0.055185
128,28,28,64,1,4,1,4,32,7,1,32,0.10442
128,28,28,64,1,4,1,4,32,2,1,4,0.038364999999999996
128,28,28,64,1,2,2,14,32,1,1,32,0.045075000000000004
128,28,28,64,1,2,1,1,32,1,2,1,0.052
128,28,28,64,1,1,1,2,32,2,2,2,0.049805
128,28,28,64,1,4,2,7,32,14,1,16,0.043885
128,28,28,64,1,2,1,1,32,2,2,16,0.169715
128,28,28,64,1,2,1,4,32,7,1,8,0.042975
128,28,28,64,1,1,1,1,32,2,2,2,0.08055999999999999
128,28,28,64,1,1,1,4,32,4,1,4,0.043295
128,28,28,64,1,2,2,2,32,14,1,2,0.05066
128,28,28,64,1,4,1,1,32,7,4,1,0.0711
128,28,28,64,1,2,2,7,32,1,2,4,0.02438
128,28,28,64,1,2,2,7,32,7,1,16,0.03578
128,28,28,64,1,4,4,7,32,1,1,8,0.05965
128,28,28,64,1,2,1,1,32,1,14,4,0.07947
128,28,28,64,1,2,1,2,32,7,1,1,0.06038
128,28,28,64,1,1,1,14,32,2,1,16,0.02726
128,28,28,64,1,1,1,1,32,4,2,16,0.207055
128,28,28,64,1,1,1,2,32,7,1,8,0.095025
128,28,28,64,1,1,1,14,32,4,1,8,0.02195
128,28,28,64,1,1,1,7,32,4,1,8,0.03123
128,28,28,64,1,1,1,1,32,1,4,8,0.12125
128,28,28,64,1,1,1,1,32,2,4,8,0.12576
128,28,28,64,1,1,2,7,32,7,1,2,0.02995
128,28,28,64,1,4,1,1,32,7,1,1,0.08064
128,28,28,64,1,1,2,2,32,7,2,8,0.05915
128,28,28,64,1,1,1,1,32,2,4,4,0.09257499999999999
128,28,28,64,1,2,1,4,32,7,1,1,0.062240000000000004
128,28,28,64,1,2,1,2,32,4,1,16,0.106865
128,28,28,64,1,1,2,2,32,14,2,1,0.07678499999999999
128,28,28,64,1,4,1,2,32,4,1,16,0.10936000000000001
128,28,28,64,1,4,1,1,32,7,4,16,0.1756
128,28,28,64,1,1,1,1,32,7,4,32,0.351345
128,28,28,64,1,4,4,7,32,7,1,32,0.11578
128,28,28,64,1,2,1,1,32,2,1,16,0.21828999999999998
128,28,28,64,1,1,1,1,32,1,7,16,0.204335
128,28,28,64,1,1,1,2,32,14,2,32,0.1944
128,28,28,64,1,4,1,7,32,7,2,2,0.04954
128,28,28,64,1,1,1,2,32,1,1,16,0.19649499999999998
128,28,28,64,1,2,1,1,32,4,1,2,0.08216000000000001
128,28,28,64,1,2,2,2,32,14,1,16,0.099505
128,28,28,64,1,2,2,2,32,1,2,2,0.0391
128,28,28,64,1,4,4,7,32,7,1,8,0.0668
128,28,28,64,1,2,1,1,32,1,14,32,0.29918500000000003
128,28,28,64,1,1,1,4,32,2,1,1,0.059359999999999996
128,28,28,64,1,4,1,2,32,4,7,2,0.051155
128,28,28,64,1,1,1,7,32,14,2,32,0.066385
128,28,28,64,1,4,1,1,32,2,14,2,0.04717
128,28,28,64,1,1,1,7,32,2,2,1,0.043455
128,28,28,64,1,4,1,2,32,4,1,1,0.07888
128,28,28,64,1,2,1,14,32,14,1,32,0.042145
128,28,28,64,1,2,2,4,32,2,1,2,0.041010000000000005
128,28,28,64,1,1,1,7,32,1,2,4,0.02171
128,28,28,64,1,4,1,1,32,7,1,2,0.065105
128,28,28,64,1,1,1,1,32,2,4,32,0.28221
128,28,28,64,1,1,1,1,32,4,2,1,0.09221
128,28,28,64,1,2,1,1,32,1,7,8,0.10131
128,28,28,64,1,1,2,7,32,7,1,16,0.03786
128,28,28,64,1,1,1,4,32,14,1,2,0.042145
128,28,28,64,1,1,4,7,32,7,1,8,0.032365
128,28,28,64,1,1,2,7,32,2,2,16,0.028
128,28,28,64,1,4,2,2,32,1,1,2,0.061775
128,28,28,64,1,4,1,4,32,2,1,8,0.037585
128,28,28,64,1,2,2,14,32,2,1,2,0.035935
128,28,28,64,1,2,1,2,32,4,2,8,0.0527
128,28,28,64,1,4,2,14,32,2,1,4,0.040755
128,28,28,64,1,4,1,2,32,14,2,4,0.042465
128,28,28,64,1,4,1,4,32,1,1,8,0.05501
128,28,28,64,1,4,1,1,32,4,1,8,0.11849499999999999
128,28,28,64,1,1,1,4,32,7,1,2,0.0409
128,28,28,64,1,1,1,1,32,1,14,8,0.14151999999999998
128,28,28,64,1,2,1,2,32,14,2,1,0.05779
128,28,28,64,1,4,1,1,32,2,14,1,0.068205
128,28,28,64,1,1,1,2,32,4,1,4,0.06477
128,28,28,64,1,1,1,1,32,7,1,32,0.44093
128,28,28,64,1,4,2,2,32,14,1,32,0.1668
128,28,28,64,1,2,1,1,32,4,7,4,0.08579
128,28,28,64,1,2,2,7,32,1,2,8,0.02138
128,28,28,64,1,2,1,1,32,4,1,32,0.38726499999999997
128,28,28,64,1,4,2,2,32,1,1,4,0.0513
128,28,28,64,1,2,1,7,32,1,1,1,0.05795
128,28,28,64,1,4,2,14,32,7,1,16,0.03875
128,28,28,64,1,2,1,2,32,2,2,16,0.08368
128,28,28,64,1,1,1,1,32,1,2,8,0.12976
128,28,28,64,1,2,1,7,32,2,2,16,0.03194
128,28,28,64,1,1,2,4,32,7,1,2,0.03744
128,28,28,64,1,4,1,2,32,7,2,16,0.1015
128,28,28,64,1,2,4,7,32,7,1,8,0.039474999999999996
128,28,28,64,1,4,1,7,32,1,2,8,0.02845
128,28,28,64,1,1,2,14,32,2,1,32,0.046765
128,28,28,64,1,2,1,1,32,14,1,2,0.09162999999999999
128,28,28,64,1,1,2,2,32,2,7,2,0.031314999999999996
128,28,28,64,1,2,2,7,32,7,1,8,0.02886
128,28,28,64,1,4,1,1,32,1,2,4,0.068545
128,28,28,64,1,4,1,7,32,2,2,8,0.02867
128,28,28,64,1,1,1,7,32,4,2,4,0.022655
128,28,28,64,1,2,1,1,32,2,14,32,0.32464
128,28,28,64,1,4,1,7,32,1,2,32,0.050495
128,28,28,64,1,4,1,7,32,14,2,32,0.05747
128,28,28,64,1,1,1,2,32,4,1,1,0.05846
128,28,28,64,1,2,2,4,32,1,1,1,0.06118
128,28,28,64,1,2,2,7,32,7,2,1,0.08193500000000001
128,28,28,64,1,2,1,7,32,7,1,16,0.04104
128,28,28,64,1,4,1,1,32,4,4,2,0.04835
128,28,28,64,1,2,1,1,32,4,4,2,0.06454499999999999
128,28,28,64,1,4,1,2,32,1,2,4,0.039565
128,28,28,64,1,1,1,2,32,1,7,2,0.0471
128,28,28,64,1,1,1,7,32,1,2,1,0.04174
128,28,28,64,1,2,2,7,32,14,1,4,0.03594
128,28,28,64,1,4,1,14,32,2,1,2,0.04339
128,28,28,64,1,4,1,7,32,4,2,4,0.03286
128,28,28,64,1,2,2,2,32,7,1,1,0.07056
128,28,28,64,1,2,1,1,32,7,4,32,0.33853
128,28,28,64,1,4,2,4,32,7,1,1,0.0703
128,28,28,64,1,4,1,1,32,14,2,2,0.05357
128,28,28,64,1,2,1,7,32,14,2,8,0.02394
128,28,28,64,1,2,2,4,32,7,1,2,0.04184
128,28,28,64,1,1,2,14,32,7,1,1,0.061855
128,28,28,64,1,2,2,7,32,1,1,2,0.03496
128,28,28,64,1,4,2,2,32,2,1,32,0.159005
128,28,28,64,1,1,1,1,32,1,14,4,0.105585
128,28,28,64,1,2,2,2,32,14,1,32,0.173185
128,28,28,64,1,2,2,7,32,7,2,32,0.04208
128,28,28,64,1,2,1,4,32,4,1,1,0.06024
128,28,28,64,1,1,4,4,32,1,1,8,0.045645
128,28,28,64,1,4,1,2,32,1,2,16,0.08342
128,28,28,64,1,4,1,4,32,14,1,32,0.10515
128,28,28,64,1,4,1,1,32,4,1,2,0.060495
128,28,28,64,1,1,4,7,32,1,1,4,0.03062
128,28,28,64,1,2,1,7,32,2,1,32,0.06381
128,28,28,64,1,1,1,7,32,2,2,16,0.035185
128,28,28,64,1,2,2,2,32,1,1,32,0.2252
128,28,28,64,1,2,1,1,32,1,4,1,0.05059
128,28,28,64,1,4,1,2,32,14,1,16,0.1192
128,28,28,64,1,1,2,4,32,2,1,4,0.02995
128,28,28,64,1,4,1,4,32,7,1,16,0.0608
128,28,28,64,1,4,1,1,32,2,7,4,0.06426
128,28,28,64,1,2,1,1,32,2,7,32,0.30189
128,28,28,64,1,4,1,1,32,1,14,4,0.063985
128,28,28,64,1,4,1,14,32,7,1,4,0.035155
128,28,28,64,1,1,1,2,32,1,1,1,0.101005
128,28,28,64,1,2,1,1,32,4,2,8,0.10522999999999999
128,28,28,64,1,2,1,7,32,1,2,16,0.031184999999999997
128,28,28,64,1,2,1,7,32,4,2,1,0.05053
128,28,28,64,1,1,1,2,32,7,1,4,0.076815
128,28,28,64,1,1,1,1,32,1,4,2,0.07588500000000001
128,28,28,64,1,4,1,2,32,2,1,16,0.10931
128,28,28,64,1,1,1,14,32,1,1,32,0.052254999999999996
128,28,28,64,1,2,2,2,32,14,2,1,0.08426
128,28,28,64,1,2,1,1,32,1,1,8,0.19965
128,28,28,64,1,1,1,2,32,2,1,1,0.058225
128,28,28,64,1,4,2,4,32,2,1,1,0.06205
128,28,28,64,1,1,2,7,32,14,1,1,0.065825
128,28,28,64,1,2,2,2,32,1,7,32,0.084975
128,28,28,64,1,2,1,1,32,2,14,8,0.11288000000000001
128,28,28,64,1,4,4,4,32,7,1,16,0.07194
128,28,28,64,1,4,1,7,32,7,2,8,0.0296
128,28,28,64,1,4,1,1,32,2,14,16,0.16845
128,28,28,64,1,4,1,2,32,2,1,4,0.047585
128,28,28,64,1,2,2,14,32,2,1,16,0.027455
128,28,28,64,1,1,1,2,32,1,1,4,0.100915
128,28,28,64,1,2,2,2,32,14,1,1,0.078285
128,28,28,64,1,4,1,2,32,7,1,16,0.11867
128,28,28,64,1,2,4,7,32,1,1,1,0.077875
128,28,28,64,1,1,1,1,32,1,2,32,0.29882
128,28,28,64,1,2,4,4,32,1,1,32,0.10266
128,28,28,64,1,2,1,1,32,14,1,32,0.422545
128,28,28,64,1,4,1,2,32,1,1,8,0.08835
128,28,28,64,1,2,1,2,32,1,7,8,0.055665
128,28,28,64,1,2,2,7,32,2,1,32,0.061005000000000004
128,28,28,64,1,4,2,7,32,1,2,1,0.06749
128,28,28,64,1,4,1,1,32,1,1,4,0.10659
128,28,28,64,1,1,1,1,32,2,14,1,0.09702
128,28,28,64,1,2,4,7,32,7,1,16,0.04282
128,28,28,64,1,2,1,7,32,2,2,2,0.031314999999999996
128,28,28,64,1,2,2,14,32,2,1,32,0.045244999999999994
128,28,28,64,1,4,1,14,32,1,1,16,0.029394999999999998
128,28,28,64,1,4,4,7,32,1,2,32,0.065855
128,28,28,64,1,2,1,1,32,14,1,1,0.079055
128,28,28,64,1,4,1,1,32,1,7,4,0.06179
128,28,28,64,1,4,2,2,32,7,1,4,0.0528
128,28,28,64,1,2,2,2,32,7,1,8,0.06144
128,28,28,64,1,4,1,7,32,7,1,2,0.050065
128,28,28,64,1,2,2,14,32,2,1,8,0.0248
128,28,28,64,1,1,2,7,32,1,1,32,0.074095
128,28,28,64,1,1,1,7,32,7,1,1,0.05498
128,28,28,64,1,2,1,1,32,4,7,32,0.32701
128,28,28,64,1,1,1,1,32,1,14,1,0.08976
128,28,28,64,1,2,1,1,32,2,1,32,0.386415
128,28,28,64,1,2,1,7,32,4,1,4,0.02707
128,28,28,64,1,2,1,4,32,2,1,32,0.098275
128,28,28,64,1,2,1,14,32,4,1,1,0.05786
128,28,28,64,1,4,1,2,32,2,1,1,0.07830500000000001
128,28,28,64,1,4,2,4,32,14,1,1,0.09024
128,28,28,64,1,4,1,7,32,2,1,32,0.064045
128,28,28,64,1,1,1,1,32,2,1,8,0.16868499999999997
128,28,28,64,1,1,2,14,32,7,1,8,0.02323
